년도,국가,포지션,등번호,한글 성명,로마자 성명,생년월일,소속팀
2006,대한민국,DF,3,김동진,Kim Dong-jin,1982.01.28,FC 서울
2006,대한민국,DF,4,최진철,Choi Jin-cheul,1971.03.26,전북 현대 모터스
2006,대한민국,DF,6,김진규,Kim Jin-kyu,1985.02.16,주빌로 이와타
2006,대한민국,DF,12,이영표,Lee Young-pyo,1977.04.23,토트넘 홋스퍼 FC
2006,대한민국,DF,18,김상식,Kim Sang-sik,1976.12.17,성남 일화 천마
2006,대한민국,DF,22,송종국,Song Chong-gug,1979.02.20,수원 삼성 블루윙즈
2006,대한민국,DF,23,조원희,Cho Won-hee,1983.04.17,수원 삼성 블루윙즈
2006,대한민국,MF,5,김남일,Kim Nam-il,1977.03.14,수원 삼성 블루윙즈
2006,대한민국,MF,7,박지성,Park Ji-sung,1981.02.25,맨체스터 유나이티드 FC
2006,대한민국,MF,8,김두현,Kim Do-hyeon,1982.07.14,성남 일화 천마
2006,대한민국,MF,13,이을용,Lee Eul-yong,1975.09.08,트라브존스포르
2006,대한민국,MF,15,백지훈,Baek Ji-hoon,1985.02.28,FC 서울
2006,대한민국,MF,17,이호,Lee Ho,1984.10.22,울산 현대 호랑이
2006,대한민국,FW,9,안정환,Ahn Jung-hwan,1976.01.27,MSV 뒤스부르크
2006,대한민국,FW,10,박주영,Park Chu-young,1985.07.10,FC 서울
2006,대한민국,FW,11,설기현,Seol Ki-hyeon,1979.01.08,울버햄튼 원더러스 FC
2006,대한민국,FW,14,이천수,Lee Chun-soo,1981.07.09,울산 현대 호랑이
2006,대한민국,FW,16,정경호,Chung Kyung-ho,1980.05.22,광주 상무 불사조
2006,대한민국,FW,19,조재진,Cho Jae-jin,1981.07.09,시미즈 S펄스
2006,토고,GK,1,오우로미니 창니루,Ouro-Nimini Tchagnirou,1977.12.31,졸리바 AC
2006,토고,GK,16,코시 아가사,Kossi Agassa,1978.07.02,FC 메스
2006,토고,GK,22,코조비 오빌랄레,Kodjovi Obilalé,1984.10.08,에투알 필랑트 드 토고
2006,토고,DF,2,다레 니봄베,Daré Nibombé,1980.06.16,RAEC 몽스
2006,토고,DF,3,장폴 아발로,Jean-Paul Abalo,1975.06.26,아포엘 FC
2006,토고,DF,5,마사마소 창가이,Massamasso Tchangai,1978.08.08,베네벤토 칼초
2006,토고,DF,12,에릭 아코토,Eric Akoto,1980.07.20,FC 아드미라 바커 뫼들링
2006,토고,DF,13,리치몽드 포르송,Richmond Forson,1980.05.23,방데 푸아레
2006,토고,DF,19,뤼도비크 아세모아사,Ludovic Assemoassa,1980.09.18,CD 무르시아
2006,토고,DF,23,아시미우 투레,Assimiou Touré,1988.01.01,바이어 04 레버쿠젠
2006,토고,MF,6,야오 아지아워누,Yao Aziawonou,1979.11.30,BSC 영 보이즈
2006,토고,MF,8,콰미 아그보,Kuami Agboh,1977.12.28,KSK 베베런
2006,토고,MF,9,토마스 도세비,Thomas Dossevi,1979.03.06,발랑시엔 FC
2006,토고,MF,10,셰리프 투레 마망,Chérif Touré Mamam,1978.01.13,FC 메스
2006,토고,MF,14,아데캄비 올루파데,Adékambi Olufadé,1980.01.07,알 사일리야 SC
2006,토고,MF,15,알렉시스 로마오,Alaixys Romao,1984.01.18,루앙퀴소 FC
2006,토고,MF,18,야오 세나야,Yao Junior Sènaya,1984.04.19,YF 유벤투스
2006,토고,MF,21,프랑크 아추[A],Franck Atsou,1978.08.01,알 힐랄 SFC
2006,토고,FW,4,엠마누엘 아데바요르,Emmanuel Adebayor,1984.02.26,아스날 FC
2006,토고,FW,7,무스타파 살리푸,Moustapha Salifou,1983.06.01,스타드 브레스투아 29
2006,토고,FW,11,로베르 말름,Robert Malm,1973.08.21,스타드 브레스투아 29
2006,토고,FW,17,모하메드 카데르,Mohamed Kader,1979.04.08,EA 갱강
2006,토고,FW,20,아포 에라사,Affo Erassa,1983.02.19,AS 물랑
2006,스페인,GK,1,이케르 카시야스,Iker Casillas,1981.05.20,레알 마드리드 CF
2006,스페인,GK,19,산티아고 카니사레스,Santiago Cañizares,1969.12.18,발렌시아 CF
2006,스페인,GK,23,페페 레이나,Pepe Reina,1982.08.31,리버풀 FC
2006,스페인,DF,2,미첼 살가도,Míchel Salgado,1975.10.22,레알 마드리드 CF
2006,스페인,DF,3,마리아노 페르니아,Mariano Pernía,1977.05.04,헤타페 CF
2006,스페인,DF,4,카를로스 마르체나,Carlos Marchena,1979.07.31,발렌시아 CF
2006,스페인,DF,5,카를레스 푸욜,Carles Puyol,1978.04.13,FC 바르셀로나
2006,스페인,DF,12,안토니오 로페스,Antonio López,1981.09.13,아틀레티코 마드리드
2006,스페인,DF,15,세르히오 라모스,Sergio Ramos,1986.03.30,레알 마드리드 CF
2006,스페인,DF,20,후아니토,Juanito,1976.07.23,레알 베티스
2006,스페인,DF,22,파브로 이바녜스,Pablo Ibáñez,1981.08.03,아틀레티코 마드리드
2006,스페인,MF,6,다비드 알벨다,David Albelda,1977.09.01,발렌시아 CF
2006,스페인,MF,8,사비 에르난데스,Xavi Hernández,1980.01.25,FC 바르셀로나
2006,스페인,MF,10,호세 안토니오 레예스,José Antonio Reyes,1983.09.01,아스날 FC
2006,스페인,MF,11,루이스 가르시아,Luis García,1978.06.24,리버풀 FC
2006,스페인,MF,13,안드레스 이니에스타,Andrés Iniesta,1984.05.11,FC 바르셀로나
2006,스페인,MF,14,샤비 알론소,Xabi Alonso,1981.11.25,리버풀 FC
2006,스페인,MF,16,마르코스 세나,Marcos Senna,1976.07.17,비야레알 CF
2006,스페인,MF,17,호아킨,Joaquín,1981.07.21,레알 베티스
2006,스페인,MF,18,세스크 파브레가스,Cesc Fàbregas,1987.05.04,아스날 FC
2006,스페인,FW,7,라울 곤살레스,Raúl González,1977.07.27,레알 마드리드 CF
2006,스페인,FW,9,페르난도 토레스,Fernando Torres,1984.03.20,아틀레티코 마드리드
2006,스페인,FW,21,다비드 비야,David Villa,1981.12.03,발렌시아 CF
2006,우크라이나,GK,1,올렉산드르 쇼우코우스키,Oleksandr Shovkovskyi,1975.01.02,FC 디나모 키이우
2006,우크라이나,GK,12,안드리 퍄토우,Andriy Pyatov,1984.01.28,FC 보르스클라 폴타바
2006,우크라이나,GK,23,보흐단 슈스트,Bohdan Shust,1986.03.04,FC 샤흐타르 도네츠크
2006,우크라이나,DF,2,안드리 네스마치니,Andriy Nesmachniy,1979.02.28,FC 디나모 키이우
2006,우크라이나,DF,3,올렉산드르 야첸코[A],Oleksandr Yatsenko,1985.02.24,FC 메탈리스트 하르키우
2006,우크라이나,DF,5,볼로디미르 예제르스키,Volodymyr Yezerskiy,1976.11.15,FC 드니프로
2006,우크라이나,DF,6,안드리 루솔,Andriy Rusol,1983.01.16,FC 드니프로
2006,우크라이나,DF,13,드미트로 치그린스키,Dmytro Chyhrynskyi,1986.11.07,FC 메탈루르흐 자포리자
2006,우크라이나,DF,17,블라디슬라프 바쉬추크,Vladyslav Vashchuk,1975.01.02,FC 디나모 키이우
2006,우크라이나,DF,22,뱌체슬라프 스비데르스키,Vyacheslav Sviderskyi,1979.01.01,FC 샤흐타르 도네츠크
2006,우크라이나,MF,4,아나톨리 티모슈크,Anatoliy Tymoshchuk,1979.03.30,FC 샤흐타르 도네츠크
2006,우크라이나,MF,8,올레흐 셸라예우,Oleh Shelayev,1976.11.05,FC 드니프로
2006,우크라이나,MF,9,올레흐 후셰우,Oleh Husyev,1983.04.25,FC 디나모 키이우
2006,우크라이나,MF,14,안드리 후신,Andriy Husin,1972.12.11,크릴리야 소베토프 사마라
2006,우크라이나,MF,18,세르히 나자렌코,Serhiy Nazarenko,1980.02.16,FC 드니프로
2006,우크라이나,MF,19,막심 칼리니첸코,Maksym Kalynychenko,1979.01.26,FC 스파르타크 모스크바
2006,우크라이나,MF,21,루슬란 로탄,Ruslan Rotan,1981.10.29,FC 디나모 키이우
2006,우크라이나,FW,7,안드리 셰브첸코,Andriy Shevchenko,1976.09.29,AC 밀란
2006,우크라이나,FW,10,안드리 보로닌,Andriy Voronin,1979.07.21,바이어 04 레버쿠젠
2006,우크라이나,FW,11,세르히 레브로프,Serhiy Rebrov,1974.06.03,FC 디나모 키이우
2006,우크라이나,FW,15,아르템 밀레우스키,Artem Milevskyi,1985.01.12,FC 디나모 키이우
2006,우크라이나,FW,16,안드리 보로베이,Andriy Vorobey,1978.11.29,FC 드니프로
2006,우크라이나,FW,20,올렉시 비엘리크,Oleksiy Byelik,1981.02.15,FC 샤흐타르 도네츠크
2006,튀니지,GK,1,알리 붐니젤,Ali Boumnijel,1966.04.13,클루브 아프리캥
2006,튀니지,GK,16,아델 네프지,Adel Nefzi,1974.03.16,US 모나스티리엥
2006,튀니지,GK,22,함디 카스라위,Hamdi Kasraoui,1983.01.18,에스페랑스 튀니스
2006,튀니지,DF,2,카림 에세디리,Karim Essediri,1979.07.29,로센보르그 BK
2006,튀니지,DF,3,카림 하귀,Karim Haggui,1984.01.21,RC 스트라스부르
2006,튀니지,DF,4,알라에딘 야히아,Alaeddine Yahia,1981.09.26,AS 생테티엔
2006,튀니지,DF,6,하템 트라벨시,Hatem Trabelsi,1977.01.25,AFC 아약스
2006,튀니지,DF,15,라디 자이디,Radhi Jaïdi,1975.08.30,에스페랑스 튀니스
2006,튀니지,DF,18,다비드 제말리,David Jemmali,1974.12.13,FC 지롱댕 드 보르도
2006,튀니지,DF,19,아니스 아야리,Anis Ayari,1982.02.16,삼순스포르
2006,튀니지,DF,21,카림 사이디,Karim Saidi,1983.03.24,페예노르트 로테르담
2006,튀니지,MF,8,메흐디 나프티,Mehdi Nafti,1978.11.28,버밍엄 시티 FC
2006,튀니지,MF,10,카이스 고드반,Kaies Ghodhbane,1976.01.07,콘야스포르
2006,튀니지,MF,12,자와르 음나리,Jawhar Mnari,1976.11.08,1. FC 뉘른베르크
2006,튀니지,MF,13,리아드 부아지지,Riadh Bouazizi,1973.04.08,카이세리 에르시예스포르
2006,튀니지,MF,14,아델 셰들리,Adel Chedli,1976.09.16,1. FC 뉘른베르크
2006,튀니지,MF,20,하메드 나무치,Hamed Namouchi,1984.01.12,레인저스 FC
2006,튀니지,MF,23,소피앙 멜리티,Sofiane Melliti,1978.08.18,가지안테프스포르
2006,튀니지,FW,5,지에드 자지리,Ziad Jaziri,1978.07.12,트루아 AC
2006,튀니지,FW,7,하이켈 게맘디아,Haykel Guemamdia,1981.12.22,RC 스트라스부르
2006,튀니지,FW,9,야신 치카위,Yassine Chikhaoui,1986.09.02,에투알 두 사헬
2006,튀니지,FW,11,프란실레우두 산투스,Francileudo Santos,1979.03.20,툴루즈 FC
2006,튀니지,FW,17,샤우키 벤사다,Chaouki Ben Saada,1984.07.01,SC 바스티아
2006,사우디아라비아,GK,1,모하메드 알데아예아,Mohamed Al-Deayea,1972.08.02,알 힐랄 SFC
2006,사우디아라비아,GK,21,마브룩 자이드,Mabrouk Zaid,1979.02.11,알 이티하드 FC
2006,사우디아라비아,GK,22,모하메드 쿠자,Mohammad Khouja,1982.03.15,알 샤바브 FC
2006,사우디아라비아,DF,2,아메드 도키 알도사리,Ahmed Dokhi Al-Dosari,1976.10.25,알 이티하드 FC
2006,사우디아라비아,DF,3,레다 투카르,Redha Tukar,1975.11.29,알 샤바브 FC
2006,사우디아라비아,DF,4,하마드 알몬타샤리,Hamad Al-Montashari,1982.06.22,알 이티하드 FC
2006,사우디아라비아,DF,5,나이프 알카디,Naif Al-Qadi,1979.04.03,알 아흘리 SFC
2006,사우디아라비아,DF,12,압둘라지즈 카트란,Abdulaziz Khathran,1973.07.31,알 힐랄 SFC
2006,사우디아라비아,DF,13,후세인 술라이마니,Hussein Sulaimani,1977.01.21,알 아흘리 SFC
2006,사우디아라비아,DF,15,아메드 알바흐리,Ahmed Al-Bahri,1980.09.18,알 에티파크 FC
2006,사우디아라비아,DF,17,모하메드 알비시,Mohamed Al-Bishi,1987.05.03,알 아흘리 SFC
2006,사우디아라비아,DF,23,모하메드 마사드,Mohammad Massad,1983.02.17,알 아흘리 SFC
2006,사우디아라비아,MF,6,오마르 알감디,Omar Al-Ghamdi,1979.04.11,알 힐랄 SFC
2006,사우디아라비아,MF,7,모하메드 아민,Mohammed Ameen,1980.04.29,알 이티하드 FC
2006,사우디아라비아,MF,8,모하메드 누르,Mohammed Noor,1978.02.26,알 이티하드 FC
2006,사우디아라비아,MF,10,모함마드 알샬후브,Mohammad Al-Shalhoub,1980.12.08,알 힐랄 SFC
2006,사우디아라비아,MF,14,사우드 카리리,Saud Kariri,1980.07.08,알 이티하드 FC
2006,사우디아라비아,MF,16,칼레드 아지즈,Khaled Aziz,1981.07.14,알 힐랄 SFC
2006,사우디아라비아,MF,18,나와프 알테미아트,Nawaf Al-Temyat,1976.06.28,알 힐랄 SFC
2006,사우디아라비아,FW,9,사미 알자베르,Sami Al-Jaber,1972.12.11,알 힐랄 SFC
2006,사우디아라비아,FW,11,사드 알하르티,Saad Al-Harthi,1984.02.03,알 나스르 FC
2006,사우디아라비아,FW,15,야세르 알카타니,Yasser Al-Qahtani,1982.10.10,알 힐랄 SFC
2006,사우디아라비아,FW,20,말레크 무아트,Malek Mouath,1981.08.10,알 아흘리 SFC
2010,멕시코,GK,1,오스카르 페레스,Óscar Pérez,1973. 02. 01.,치아파스 FC
2010,멕시코,GK,13,기예르모 오초아,Guillermo Ochoa,1985. 07. 13.,클루브 아메리카
2010,멕시코,GK,23,루이스 에르네스토 미첼,Luis Ernesto Michel,1979. 07. 21.,CD 과달라하라
2010,멕시코,DF,2,프란시스코 로드리게스,Francisco Rodríguez,1981. 10. 20.,PSV 에인트호번
2010,멕시코,DF,3,카를로스 살시도,Carlos Salcido,1980. 04. 02.,PSV 에인트호번
2010,멕시코,DF,4,라파엘 마르케스,Rafael Márquez,1979. 02. 13.,FC 바르셀로나
2010,멕시코,DF,5,리카르도 오소리오,Ricardo Osorio,1980. 03. 30.,VfB 슈투트가르트
2010,멕시코,DF,12,파울 아길라르,Paul Aguilar,1986. 03. 06.,CF 파추카
2010,멕시코,DF,15,엑토르 모레노,Héctor Moreno,1988. 01. 17.,AZ 알크마르
2010,멕시코,DF,16,에프라인 후아레스,Efraín Juárez,1988. 02. 22.,푸마스 UNAM
2010,멕시코,DF,19,호니 마가욘,Jonny Magallón,1981. 11. 21.,CD 과달라하라
2010,멕시코,DF,20,호르헤 토레스 닐로,Jorge Torres Nilo,1988. 01. 16.,클루브 아틀라스
2010,멕시코,MF,6,헤라르도 토라도,Gerardo Torrado,1979. 04. 30.,CD 크루스 아술
2010,멕시코,MF,7,파블로 바레라,Pablo Barrera,1987. 06. 21.,푸마스 UNAM
2010,멕시코,MF,8,이스라엘 카스트로,Israel Castro,1980. 12. 29.,푸마스 UNAM
2010,멕시코,MF,18,안드레스 과르다도,Andrés Guardado,1986. 09. 28.,데포르티보 라 코루냐
2010,멕시코,MF,22,알베르토 메디나,Alberto Medina,1983. 05. 29.,CD 과달라하라
2010,멕시코,FW,9,기예르모 프랑코,Guillermo Franco,1976. 11. 03.,웨스트햄 유나이티드 FC
2010,멕시코,FW,10,콰우테모크 블랑코,Cuauhtémoc Blanco,1973. 01. 17.,CD 베라크루스
2010,멕시코,FW,11,카를로스 벨라,Carlos Vela,1989. 03. 01.,아스날 FC
2010,멕시코,FW,14,하비에르 에르난데스,Javier Hernández,1988. 06. 01.,CD 과달라하라
2010,멕시코,FW,17,지오반니 도스산토스,Giovani dos Santos,1989. 05. 11.,갈라타사라이 SK
2010,멕시코,FW,21,아돌포 바우티스타,Adolfo Bautista,1979. 05. 15.,CD 과달라하라
2010,우루과이,GK,1,페르난도 무슬레라,Fernando Muslera,1986. 06. 13.,SS 라치오
2010,우루과이,GK,12,후안 카스티요,Juan Castillo,1978. 04. 17.,데포르티보 칼리
2010,우루과이,GK,23,마르틴 실바,Martín Silva,1983. 03. 25.,데펜소르 스포르팅
2010,우루과이,DF,2,디에고 루가노,Diego Lugano,1980. 11. 02.,페네르바흐체 SK
2010,우루과이,DF,3,디에고 고딘,Diego Godín,1986. 02. 16.,비야레알 CF
2010,우루과이,DF,4,호르헤 푸실레,Jorge Fucile,1984. 11. 19.,FC 포르투
2010,우루과이,DF,6,마우리시오 빅토리노,Mauricio Victorino,1982. 10. 11.,클루브 우니베르시다드 데 칠레
2010,우루과이,DF,16,막시 페레이라,Maxi Pereira,1984. 06. 08.,SL 벤피카
2010,우루과이,DF,19,안드레스 스코티,Andrés Scotti,1975. 12. 14.,콜로-콜로
2010,우루과이,DF,22,마르틴 카세레스,Martín Cáceres,1987. 04. 07.,세비야 FC
2010,우루과이,MF,5,왈테르 가르가노,Walter Gargano,1984. 07. 23.,SSC 나폴리
2010,우루과이,MF,8,세바스티안 에구렌,Sebastián Eguren,1981. 01. 08.,AIK 포트볼
2010,우루과이,MF,11,알바로 페레이라,Álvaro Pereira,1985. 11. 28.,FC 포르투
2010,우루과이,MF,14,니콜라스 로데이로,Nicolás Lodeiro,1989. 03. 21.,AFC 아약스
2010,우루과이,MF,15,디에고 페레스,Diego Pérez,1980. 05. 18.,AS 모나코 FC
2010,우루과이,MF,17,에지디오 아레발로,Egidio Arévalo,1982. 01. 01.,CA 페냐롤
2010,우루과이,MF,18,이그나시오 곤살레스,Ignacio González,1982. 05. 14.,레바디아코스 FC
2010,우루과이,MF,20,알바로 페르난데스,Álvaro Fernández,1985. 10. 11.,클루브 우니베르시다드 데 칠레
2010,우루과이,FW,7,에딘손 카바니,Edinson Cavani,1987. 02. 14.,팔레르모 FC
2010,우루과이,FW,9,루이스 수아레스,Luis Suárez,1987. 01. 24.,AFC 아약스
2010,우루과이,FW,10,디에고 포를란,Diego Forlán,1979. 05. 19.,아틀레티코 마드리드
2010,우루과이,FW,13,세바스티안 아브레우,Sebastián Abreu,1976. 10. 17.,보타포구 FR
2010,우루과이,FW,21,세바스티안 페르난데스,Sebastián Fernández,1985. 05. 23.,CA 반필드
2010,프랑스,GK,1,위고 요리스,Hugo Lloris,1986. 12. 26.,올랭피크 리옹
2010,프랑스,GK,16,스테브 망당다,Steve Mandanda,1985. 03. 28.,올랭피크 드 마르세유
2010,프랑스,GK,23,세드리크 카라소,Cédric Carrasso,1981. 12. 30.,FC 지롱댕 드 보르도
2010,프랑스,DF,2,바카리 사냐,Bacary Sagna,1983. 02. 14.,아스날 FC
2010,프랑스,DF,3,에릭 아비달,Eric Abidal,1979. 09. 11.,FC 바르셀로나
2010,프랑스,DF,4,앙토니 레베예르,Anthony Réveillère,1979. 11. 10.,올랭피크 리옹
2010,프랑스,DF,5,윌리엄 갈라스,William Gallas,1977. 08. 17.,아스날 FC
2010,프랑스,DF,6,마르크 플라뉘,Marc Planus,1982. 03. 07.,FC 지롱댕 드 보르도
2010,프랑스,DF,13,파트리스 에브라,Patrice Evra,1981. 05. 15.,맨체스터 유나이티드 FC
2010,프랑스,DF,17,세바스티앙 스킬라치,Sébastien Squillaci,1980. 08. 11.,세비야 FC
2010,프랑스,DF,22,가엘 클리시,Gaël Clichy,1985. 07. 26.,아스날 FC
2010,프랑스,MF,7,프랑크 리베리,Franck Ribéry,1983. 04. 07.,FC 바이에른 뮌헨
2010,프랑스,MF,8,요앙 구르퀴프,Yoann Gourcuff,1986. 07. 11.,FC 지롱댕 드 보르도
2010,프랑스,MF,14,제레미 툴랄랑,Jérémy Toulalan,1983. 09. 10.,올랭피크 리옹
2010,프랑스,MF,15,플로랑 말루다,Florent Malouda,1980. 06. 13.,첼시 FC
2010,프랑스,MF,18,알루 디아라,Alou Diarra,1981. 07. 15.,FC 지롱댕 드 보르도
2010,프랑스,MF,19,아부 디아비,Abou Diaby,1986. 05. 11.,아스날 FC
2010,프랑스,MF,20,마티유 발부에나,Mathieu Valbuena,1984. 09. 28.,올랭피크 드 마르세유
2010,프랑스,FW,9,지브릴 시세,Djibril Cissé,1981. 08. 12.,파나티나이코스 FC
2010,프랑스,FW,10,시드니 고부,Sidney Govou,1979. 07. 27.,올랭피크 리옹
2010,프랑스,FW,11,앙드레피에르 지냑,André-Pierre Gignac,1985. 12. 05.,툴루즈 FC
2010,프랑스,FW,12,티에리 앙리,Thierry Henry,1977. 08. 17.,FC 바르셀로나
2010,프랑스,FW,21,니콜라 아넬카,Nicolas Anelka,1979. 03. 14.,첼시 FC
2010,아르헨티나,GK,1,디에고 포소,Diego Pozo,1978. 02. 16.,CA 콜론
2010,아르헨티나,GK,21,마리아노 안두하르,Mariano Andújar,1983. 07. 30.,칼초 카타니아
2010,아르헨티나,GK,22,세르히오 로메로,Sergio Romero,1987. 02. 22.,AZ 알크마르
2010,아르헨티나,DF,2,마르틴 데미첼리스,Martín Demichelis,1980. 12. 20.,FC 바이에른 뮌헨
2010,아르헨티나,DF,3,클레멘테 로드리게스,Clemente Rodríguez,1981. 07. 31.,에스투디안테스 데 라플라타
2010,아르헨티나,DF,4,니콜라스 부르디소,Nicolás Burdisso,1981. 04. 12.,AS 로마
2010,아르헨티나,DF,6,가브리엘 에인세,Gabriel Heinze,1978. 04. 19.,올랭피크 드 마르세유
2010,아르헨티나,DF,12,아리엘 가르세,Ariel Garcé,1979. 04. 14.,CA 콜론
2010,아르헨티나,DF,13,왈테르 사무엘,Walter Samuel,1978. 03. 23.,FC 인테르나치오날레 밀라노
2010,아르헨티나,DF,15,니콜라스 오타멘디,Nicolás Otamendi,1988. 02. 12.,CA 벨레스 사르스필드
2010,아르헨티나,MF,5,마리오 볼라티,Mario Bolatti,1985. 02. 17.,ACF 피오렌티나
2010,아르헨티나,MF,7,앙헬 디마리아,Ángel Di María,1988. 02. 14.,SL 벤피카
2010,아르헨티나,MF,8,후안 세바스티안 베론,Juan Sebastián Verón,1975. 03. 09.,에스투디안테스 데 라플라타
2010,아르헨티나,MF,14,하비에르 마스체라노,Javier Mascherano,1984. 06. 08.,리버풀 FC
2010,아르헨티나,MF,17,호나스 구티에레스,Jonás Gutiérrez,1983. 07. 05.,뉴캐슬 유나이티드 FC
2010,아르헨티나,MF,20,막시 로드리게스,Maxi Rodríguez,1981. 01. 02.,리버풀 FC
2010,아르헨티나,MF,23,하비에르 파스토레,Javier Pastore,1989. 06. 20.,팔레르모 FC
2010,아르헨티나,FW,9,곤살로 이과인,Gonzalo Higuaín,1987. 12. 10.,레알 마드리드 CF
2010,아르헨티나,FW,10,리오넬 메시,Lionel Messi,1987. 06. 24.,FC 바르셀로나
2010,아르헨티나,FW,11,카를로스 테베스,Carlos Tevez,1984. 02. 05.,맨체스터 시티 FC
2010,아르헨티나,FW,16,세르히오 아궤로,Sergio Agüero,1988. 06. 02.,아틀레티코 마드리드
2010,아르헨티나,FW,18,마르틴 팔레르모,Martín Palermo,1973. 11. 07.,CA 보카 주니어스
2010,아르헨티나,FW,19,디에고 밀리토,Diego Milito,1979. 06. 12.,FC 인테르나치오날레 밀라노
2010,나이지리아,GK,1,빈센트 엔예아마,Vincent Enyeama,1982. 08. 29.,하포엘 텔아비브 FC
2010,나이지리아,GK,16,오스틴 에지데,Austin Ejide,1984. 04. 08.,하포엘 페타티크바 FC
2010,나이지리아,GK,23,델레 아이예누그바,Dele Aiyenugba,1983. 11. 20.,브네이 예후다 텔아비브 FC
2010,나이지리아,DF,2,조셉 요보,Joseph Yobo,1980. 09. 06.,에버튼 FC
2010,나이지리아,DF,3,타예 타이워,Taye Taiwo,1985. 04. 16.,올랭피크 드 마르세유
2010,나이지리아,DF,5,라비우 아폴라비,Rabiu Afolabi,1980. 04. 18.,FC 레드불 잘츠부르크
2010,나이지리아,DF,6,대니 시투,Danny Shittu,1980. 09. 02.,볼턴 원더러스 FC
2010,나이지리아,DF,17,치디 오디아,Chidi Odiah,1983. 12. 17.,PFC CSKA 모스크바
2010,나이지리아,DF,21,엘더슨 에치에질레,Elderson Echiéjilé,1988. 01. 20.,스타드 렌 FC
2010,나이지리아,DF,22,델레 아델레예,Dele Adeleye,1988. 12. 25.,스파르타 로테르담
2010,나이지리아,MF,13,아일라 유수프,Ayila Yussuf,1984. 11. 04.,FC 디나모 키이우
2010,나이지리아,MF,14,사니 카이타,Sani Kaita,1986. 05. 02.,FC 알라니야 블라디캅카스
2010,나이지리아,MF,15,루크만 하루나,Lukman Haruna,1990. 12. 04.,AS 모나코 FC
2010,나이지리아,MF,20,딕슨 에투후,Dickson Etuhu,1982. 06. 08.,풀럼 FC
2010,나이지리아,FW,4,은완코 카누,Nwankwo Kanu,1976. 08. 01.,포츠머스 FC
2010,나이지리아,FW,7,존 우타카,John Utaka,1982. 01. 08.,포츠머스 FC
2010,나이지리아,FW,8,야쿠부 아이예그베니,Yakubu,1982. 11. 22.,에버튼 FC
2010,나이지리아,FW,9,오바페미 마르틴스,Obafemi Martins,1984. 10. 28.,VfL 볼프스부르크
2010,나이지리아,FW,10,브라운 이데예[A],Brown Ideye,1988. 10. 10.,FC 소쇼몽벨리아르
2010,나이지리아,FW,11,피터 오뎀윙기,Peter Odemwingie,1981. 07. 15.,FC 로코모티프 모스크바
2010,나이지리아,FW,12,칼루 우체,Kalu Uche,1982. 11. 15.,UD 알메리아
2010,나이지리아,FW,18,빅터 오비나,Victor Obinna,1987. 03. 25.,말라가 CF
2010,나이지리아,FW,19,치네두 오바시,Chinedu Obasi,1986. 06. 01.,TSG 1899 호펜하임
2010,대한민국,GK,1,이운재,Lee Woon-jae,1973. 04. 26.,수원 삼성 블루윙즈
2010,대한민국,GK,18,정성룡,Jung Sung-ryong,1985. 01. 04.,성남 일화 천마
2010,대한민국,GK,21,김영광,Kim Young-kwang,1983. 06. 28.,울산 현대
2010,대한민국,DF,2,오범석,Oh Beom-seok,1984. 07. 29.,울산 현대
2010,대한민국,DF,3,김형일,Kim Hyung-il,1984. 04. 27.,포항 스틸러스
2010,대한민국,DF,4,조용형,Cho Yong-hyung,1983. 11. 03.,제주 유나이티드 FC
2010,대한민국,DF,12,이영표,Lee Young-pyo,1977. 04. 23.,알 힐랄 SFC
2010,대한민국,DF,14,이정수,Lee Jung-soo,1980. 01. 08.,가시마 앤틀러스
2010,대한민국,DF,15,김동진,Kim Dong-jin,1982. 01. 29.,울산 현대
2010,대한민국,DF,22,차두리,Cha Du-ri,1980. 07. 25.,SC 프라이부르크
2010,대한민국,DF,23,강민수,Kang Min-soo,1986. 02. 14.,수원 삼성 블루윙즈
2010,대한민국,MF,5,김남일,Kim Nam-il,1977. 03. 14.,FC 톰 톰스크
2010,대한민국,MF,6,김보경,Kim Bo-kyung,1989. 10. 06.,오이타 트리니타
2010,대한민국,MF,7,박지성,Park Ji-sung,1981. 02. 25.,맨체스터 유나이티드 FC
2010,대한민국,MF,8,김정우,Kim Jung-woo,1982. 05. 09.,광주 상무 불사조
2010,대한민국,MF,13,김재성,Kim Jae-sung,1983. 10. 03.,포항 스틸러스
2010,대한민국,MF,16,기성용,Ki Sung-yueng,1989. 01. 24.,셀틱 FC
2010,대한민국,FW,9,안정환,Ahn Jung-hwan,1976. 01. 27.,다롄 스더
2010,대한민국,FW,10,박주영,Park Chu-young,1985. 07. 10.,AS 모나코 FC
2010,대한민국,FW,11,이승렬,Lee Seung-Yeoul,1989. 03. 06.,FC 서울
2010,대한민국,FW,17,이청용,Lee Chung-yong,1988. 07. 02.,볼턴 원더러스 FC
2010,대한민국,FW,19,염기훈,Yeom Ki-hun,1983. 03. 30.,수원 삼성 블루윙즈
2010,대한민국,FW,20,이동국,Lee Dong-gook,1979. 04. 29.,전북 현대 모터스
2010,그리스,GK,1,코스타스 찰키아스,Kostas Chalkias,1974. 05. 30.,PAOK FC
2010,그리스,GK,12,알렉산드로스 초르바스,Alexandros Tzorvas,1982. 08. 12.,파나티나이코스 FC
2010,그리스,GK,13,미할리스 시파키스,Michalis Sifakis,1984. 09. 09.,아리스 테살로니키 FC
