,Nation,이름,소속/국가,나이,Eng_Nation,Name,Age,FS_0,FS_1,FS_2,FS_3,FS_4,FS_5,FS_6,FS_7,FS_8,FS_9,FS_10,FS_11,FS_12,FS_13,FS_14
335,독일,niclasfullkrug,West Ham United,32.0,Germany,sergedavidgnabry,29.0,82.0,82.0,85.0,82.0,82.0,77.0,84.0,66.0,68.0,86.0,75.0,10.0,78.0,44.0,84.0
336,콜롬비아,sergegnabry,Bayern München,30.0,Colombia,simongarcia,20.0,66.0,67.0,45.0,51.0,66.0,54.0,69.0,76.0,67.0,39.0,70.0,10.67,62.0,65.0,42.0
337,콜롬비아,camilovargas,Atlas,36.0,Colombia,davidospinaramirez,36.0,76.0,32.0,12.0,57.0,65.0,11.0,55.0,19.0,49.0,58.0,50.0,77.0,42.5,12.0,10.0
338,콜롬비아,davidospina,Atletico Nacional,37.0,Colombia,kevincuesta,25.0,62.0,32.0,23.0,55.0,56.0,27.0,60.0,68.0,71.0,45.0,62.0,9.0,51.5,66.0,25.0
339,콜롬비아,kevinmier,Cruz Azul,,Colombia,kevinangulo,16.0,57.0,50.0,40.0,49.0,55.0,30.0,77.0,80.0,60.0,59.0,76.0,10.67,34.5,15.67,62.0
340,콜롬비아,alvaroangulo,Pumas,,Colombia,santiagomunoz,25.0,61.0,55.0,67.0,55.0,58.0,54.0,75.0,60.0,45.0,59.0,72.0,10.33,55.0,40.33,50.0
341,콜롬비아,danielmunoz,Crystal Palace,29.0,Colombia,davinsonsanchezmina,29.0,82.0,75.0,72.0,69.0,78.0,36.0,80.0,84.0,90.0,66.0,84.0,10.0,76.0,82.0,59.0
342,콜롬비아,davinsonsanchez,Galatasaray,29.0,Colombia,royercaicedo,19.0,60.0,30.0,28.0,50.0,53.0,30.0,75.0,70.0,75.0,35.0,76.0,10.67,40.5,61.67,18.0
343,콜롬비아,deivermachado,Lens,32.0,Colombia,joelromero,19.0,61.0,60.0,59.0,55.0,58.0,60.0,74.0,76.0,60.0,54.0,71.0,6.67,65.5,59.67,50.0
344,콜롬비아,feliperoman,Atletico Nacional,29.0,Colombia,joelromero,19.0,61.0,60.0,59.0,55.0,58.0,60.0,74.0,76.0,60.0,54.0,71.0,6.67,65.5,59.67,50.0
345,콜롬비아,jhonlucumi,Bologna,27.0,Colombia,juanjoserosa,17.0,57.0,52.0,62.0,50.0,40.0,51.0,88.0,70.0,55.0,58.0,82.0,9.0,42.0,27.0,55.0
346,콜롬비아,johanmojica,Mallorca,33.0,Colombia,santiagomunoz,25.0,61.0,55.0,67.0,55.0,58.0,54.0,75.0,60.0,45.0,59.0,72.0,10.33,55.0,40.33,50.0
347,콜롬비아,santiagoarias,Bahia,33.0,Colombia,joelromero,19.0,61.0,60.0,59.0,55.0,58.0,60.0,74.0,76.0,60.0,54.0,71.0,6.67,65.5,59.67,50.0
348,콜롬비아,yerrymina,Cagliari,31.0,Colombia,yersonmosqueravaldelamar,24.0,72.0,63.0,41.0,65.0,68.0,35.0,76.0,61.0,78.0,45.0,83.0,8.67,59.5,71.0,20.0
349,콜롬비아,yersonmosquera,Wolverhampton Wanderers,24.0,Colombia,yefreirodriguez,20.0,61.0,60.0,59.0,53.0,54.0,46.0,65.0,51.0,62.0,57.0,67.0,9.33,47.5,21.67,67.0
350,콜롬비아,jamesrodriguez,Leon,34.0,Colombia,kenergonzalez,19.0,61.0,60.0,57.0,62.0,50.0,52.0,75.0,70.0,62.0,58.0,73.0,11.0,60.5,61.0,58.0
351,콜롬비아,jeffersonlerma,Crystal Palace,30.0,Colombia,juanjoserosa,17.0,57.0,52.0,62.0,50.0,40.0,51.0,88.0,70.0,55.0,58.0,82.0,9.0,42.0,27.0,55.0
352,콜롬비아,jorgecarrascal,Flamengo,27.0,Colombia,juancamiloportillaorozco,26.0,73.0,72.0,68.0,54.0,68.0,55.0,70.0,83.0,75.0,67.0,68.0,12.0,74.0,68.67,68.0
353,콜롬비아,juancamiloportilla,Talleres,27.0,Colombia,juancastillo,22.0,66.0,10.0,10.0,35.0,65.0,12.0,20.0,22.0,60.0,46.0,30.0,66.33,23.0,10.67,9.0
354,콜롬비아,juanquintero,River Plate,32.0,Colombia,kevincuesta,25.0,62.0,32.0,23.0,55.0,56.0,27.0,60.0,68.0,71.0,45.0,62.0,9.0,51.5,66.0,25.0
355,콜롬비아,kevincastano,River Plate,24.0,Colombia,richardriosmontoya,25.0,79.0,83.0,82.0,80.0,83.0,74.0,83.0,88.0,79.0,78.0,80.0,8.33,79.0,74.67,67.0
356,콜롬비아,richardrios,Benfica,25.0,Colombia,joelromero,19.0,61.0,60.0,59.0,55.0,58.0,60.0,74.0,76.0,60.0,54.0,71.0,6.67,65.5,59.67,50.0
357,콜롬비아,dayromoreno,Once Caldas,40.0,Colombia,jamintonleandrocampaz,25.0,76.0,75.0,80.0,62.0,72.0,72.0,86.0,72.0,58.0,76.0,84.0,7.33,72.5,29.0,74.0
358,콜롬비아,jamintoncampaz,Rosario Central,25.0,Colombia,simongarcia,20.0,66.0,67.0,45.0,51.0,66.0,54.0,69.0,76.0,67.0,39.0,70.0,10.67,62.0,65.0,42.0
359,콜롬비아,jhonarias,Wolverhampton Wanderers,28.0,Colombia,juanjoserosa,17.0,57.0,52.0,62.0,50.0,40.0,51.0,88.0,70.0,55.0,58.0,82.0,9.0,42.0,27.0,55.0
360,콜롬비아,jhoncordoba,FC Krasnodar,32.0,Colombia,elkinrivero,19.0,62.0,65.0,54.0,62.0,56.0,65.0,70.0,68.0,55.0,62.0,70.0,6.0,68.0,55.67,53.0
361,콜롬비아,luisdiaz,Bayern München,28.0,Colombia,yojangarces,19.0,62.0,58.0,57.0,55.0,50.0,46.0,68.0,69.0,64.0,63.0,72.0,9.0,52.5,25.33,65.0
362,콜롬비아,luissuarez,Sporting CP,27.0,Colombia,marinohinestrozaangulo,22.0,72.0,73.0,79.0,63.0,55.0,68.0,83.0,62.0,44.0,73.0,80.0,12.33,65.5,27.33,71.0
363,멕시코,marinohinestroza,Atletico Nacional,23.0,Mexico,erikduenas,20.0,59.0,67.0,67.0,56.0,58.0,42.0,72.0,52.0,30.0,52.0,68.0,11.0,64.0,59.33,24.0
364,멕시코,carlosmoreno,Pachuca,27.0,Mexico,erikduenas,20.0,59.0,67.0,67.0,56.0,58.0,42.0,72.0,52.0,30.0,52.0,68.0,11.0,64.0,59.33,24.0
365,멕시코,joserangel,Chivas,25.0,Mexico,erikduenas,20.0,59.0,67.0,67.0,56.0,58.0,42.0,72.0,52.0,30.0,52.0,68.0,11.0,64.0,59.33,24.0
366,멕시코,luismalagon,CF America,28.0,Mexico,cesargarzacantu,20.0,61.0,59.0,60.0,51.0,58.0,44.0,60.0,66.0,55.0,61.0,63.0,8.0,59.0,61.33,52.0
367,멕시코,cesarmontes,Lokomotiv Moscow,28.0,Mexico,erikduenas,20.0,59.0,67.0,67.0,56.0,58.0,42.0,72.0,52.0,30.0,52.0,68.0,11.0,64.0,59.33,24.0
368,멕시코,eriklira,Cruz Azul,25.0,Mexico,cesargarzacantu,20.0,61.0,59.0,60.0,51.0,58.0,44.0,60.0,66.0,55.0,61.0,63.0,8.0,59.0,61.33,52.0
369,멕시코,jesusgallardo,Toluca,31.0,Mexico,erikduenas,20.0,59.0,67.0,67.0,56.0,58.0,42.0,72.0,52.0,30.0,52.0,68.0,11.0,64.0,59.33,24.0
370,멕시코,jesusorozco,Cruz Azul,23.0,Mexico,davidochoaramirez,24.0,62.0,10.0,6.0,31.0,60.0,8.0,28.0,38.0,68.0,45.0,25.0,60.67,20.5,9.0,5.0
371,멕시코,johanvasquez,Genoa,26.0,Mexico,juanjosesanchezpurata,27.0,72.0,64.0,50.0,59.0,68.0,37.0,51.0,54.0,81.0,58.0,54.0,11.33,61.5,71.0,44.0
372,멕시코,juanjosepurata,Tigres,27.0,Mexico,mateochavezgarcia,21.0,72.0,70.0,71.0,63.0,67.0,69.0,81.0,80.0,58.0,59.0,83.0,8.67,63.5,68.0,41.0
373,멕시코,mateochavez,AZ Alkmaar,21.0,Mexico,erikduenas,20.0,59.0,67.0,67.0,56.0,58.0,42.0,72.0,52.0,30.0,52.0,68.0,11.0,64.0,59.33,24.0
374,멕시코,rodrigohuescas,FC København,22.0,Mexico,davidochoaramirez,24.0,62.0,10.0,6.0,31.0,60.0,8.0,28.0,38.0,68.0,45.0,25.0,60.67,20.5,9.0,5.0
375,멕시코,carlosrodriguez,Cruz Azul,28.0,Mexico,obedgomezvargas,19.0,69.0,72.0,71.0,70.0,79.0,57.0,76.0,78.0,43.0,55.0,73.0,7.0,66.5,63.33,51.0
376,멕시코,edsonalvarez,Fenerbahçe,27.0,Mexico,erikduenas,20.0,59.0,67.0,67.0,56.0,58.0,42.0,72.0,52.0,30.0,52.0,68.0,11.0,64.0,59.33,24.0
377,멕시코,ericksanchez,CF America,26.0,Mexico,erikduenas,20.0,59.0,67.0,67.0,56.0,58.0,42.0,72.0,52.0,30.0,52.0,68.0,11.0,64.0,59.33,24.0
378,멕시코,jorgesanchez,Cruz Azul,27.0,Mexico,erikduenas,20.0,59.0,67.0,67.0,56.0,58.0,42.0,72.0,52.0,30.0,52.0,68.0,11.0,64.0,59.33,24.0
379,멕시코,marcelruiz,Toluca,24.0,Mexico,orbelinpinedaalvarado,29.0,77.0,80.0,81.0,70.0,78.0,73.0,82.0,84.0,58.0,76.0,81.0,11.67,73.0,67.67,73.0
380,멕시코,orbelinpineda,AEK Athens,29.0,Mexico,erikduenas,20.0,59.0,67.0,67.0,56.0,58.0,42.0,72.0,52.0,30.0,52.0,68.0,11.0,64.0,59.33,24.0
381,멕시코,alexisvega,Toluca,27.0,Mexico,erikduenas,20.0,59.0,67.0,67.0,56.0,58.0,42.0,72.0,52.0,30.0,52.0,68.0,11.0,64.0,59.33,24.0
382,멕시코,cesarhuerta,Anderlecht,24.0,Mexico,diegolainezleyva,25.0,76.0,82.0,81.0,74.0,67.0,75.0,83.0,67.0,42.0,71.0,78.0,10.0,69.5,56.67,64.0
383,멕시코,diegolainez,Tigres,25.0,Mexico,germanberterame,26.0,78.0,74.0,77.0,76.0,71.0,75.0,80.0,79.0,75.0,80.0,75.0,12.67,59.5,27.67,83.0
384,멕시코,germanberterame,Monterrey,26.0,Mexico,erikduenas,20.0,59.0,67.0,67.0,56.0,58.0,42.0,72.0,52.0,30.0,52.0,68.0,11.0,64.0,59.33,24.0
385,멕시코,hirvinglozano,San Diego FC,30.0,Mexico,erikduenas,20.0,59.0,67.0,67.0,56.0,58.0,42.0,72.0,52.0,30.0,52.0,68.0,11.0,64.0,59.33,24.0
386,멕시코,rauljimenez,Fulham,34.0,Mexico,obedgomezvargas,19.0,69.0,72.0,71.0,70.0,79.0,57.0,76.0,78.0,43.0,55.0,73.0,7.0,66.5,63.33,51.0
387,멕시코,robertoalvarado,Chivas,27.0,Mexico,santiagotomasgimenez,24.0,79.0,78.0,77.0,78.0,75.0,64.0,77.0,64.0,68.0,83.0,79.0,7.33,71.5,35.33,82.0
388,우루과이,santiagogimenez,Milan,24.0,Uruguay,cristiansouzaespana,29.0,65.0,62.0,62.0,49.0,62.0,68.0,75.0,67.0,53.0,66.0,77.0,7.0,56.0,19.67,60.0
389,우루과이,cristopherfiermarin,Tolima,27.0,Uruguay,francoisraelwibmer,25.0,75.0,24.0,18.0,44.0,64.0,11.0,30.0,23.0,80.0,53.0,32.0,77.67,33.5,10.0,6.0
390,우루과이,francoisrael,Torino,25.0,Uruguay,matiasfonseca,24.0,66.0,69.0,62.0,56.0,58.0,47.0,66.0,66.0,61.0,67.0,67.0,11.0,57.5,35.33,73.0
391,우루과이,santiagomele,Monterrey,28.0,Uruguay,kevinprieto,22.0,63.0,67.0,64.0,52.0,63.0,62.0,72.0,66.0,63.0,72.0,70.0,8.67,59.5,48.0,52.0
392,우루과이,sergiorochet,Internacional,32.0,Uruguay,emilianoalvarez,24.0,61.0,45.0,57.0,44.0,64.0,51.0,68.0,68.0,51.0,32.0,64.0,8.33,40.0,60.33,30.0
393,우루과이,guillermovarela,Flamengo,32.0,Uruguay,joaquinverges,33.0,70.0,73.0,71.0,65.0,69.0,62.0,69.0,76.0,59.0,70.0,70.0,9.67,67.0,52.67,71.0
394,우루과이,joaquinpiquerez,Palmeiras,27.0,Uruguay,joaquinverges,33.0,70.0,73.0,71.0,65.0,69.0,62.0,69.0,76.0,59.0,70.0,70.0,9.67,67.0,52.67,71.0
395,우루과이,josegimenez,Atletico Madrid,30.0,Uruguay,maizonrodriguez,22.0,64.0,45.0,32.0,49.0,59.0,38.0,68.0,60.0,72.0,48.0,69.0,8.33,48.0,68.33,29.0
396,우루과이,joserodriguez,Vasco da Gama,28.0,Uruguay,matiasfonseca,24.0,66.0,69.0,62.0,56.0,58.0,47.0,66.0,66.0,61.0,67.0,67.0,11.0,57.5,35.33,73.0
397,우루과이,mathiasolivera,Napoli,27.0,Uruguay,matiasfonseca,24.0,66.0,69.0,62.0,56.0,58.0,47.0,66.0,66.0,61.0,67.0,67.0,11.0,57.5,35.33,73.0
398,우루과이,matiasvina,Flamengo,27.0,Uruguay,nicolassosasanchez,29.0,66.0,64.0,51.0,52.0,69.0,41.0,73.0,81.0,49.0,56.0,72.0,8.67,51.0,30.0,65.0
399,우루과이,nicolasmarichal,Dinamo Moscow,24.0,Uruguay,leonardoamaral,22.0,60.0,59.0,61.0,47.0,55.0,60.0,72.0,54.0,58.0,55.0,66.0,9.33,56.0,32.67,57.0
400,우루과이,ronaldaraujo,Barcelona,26.0,Uruguay,matiasfonseca,24.0,66.0,69.0,62.0,56.0,58.0,47.0,66.0,66.0,61.0,67.0,67.0,11.0,57.5,35.33,73.0
401,우루과이,santiagobueno,Wolverhampton Wanderers,26.0,Uruguay,sebastiancoatesnion,34.0,79.0,65.0,64.0,77.0,70.0,20.0,61.0,75.0,91.0,50.0,59.0,15.0,70.5,81.0,55.0
402,우루과이,sebastiancaceres,CF America,26.0,Uruguay,emilianoalvarez,24.0,61.0,45.0,57.0,44.0,64.0,51.0,68.0,68.0,51.0,32.0,64.0,8.33,40.0,60.33,30.0
403,우루과이,emilianomartinez,Palmeiras,26.0,Uruguay,federicopintadonunez,24.0,63.0,17.0,5.0,25.0,42.0,19.0,33.0,21.0,48.0,48.0,36.0,64.67,33.5,13.0,8.0
404,우루과이,federicovalverde,Real Madrid,27.0,Uruguay,juniorgabrielariascaceres,32.0,68.0,71.0,63.0,68.0,68.0,40.0,62.0,72.0,77.0,75.0,58.0,12.67,55.5,21.0,66.0
405,우루과이,giorgiandearrascaeta,Flamengo,31.0,Uruguay,joaquinverges,33.0,70.0,73.0,71.0,65.0,69.0,62.0,69.0,76.0,59.0,70.0,70.0,9.67,67.0,52.67,71.0
406,우루과이,juansanabria,Atletico de San Luis,25.0,Uruguay,lucagiossa,25.0,65.0,15.0,13.0,26.0,60.0,14.0,22.0,18.0,50.0,46.0,19.0,64.67,21.5,12.0,6.0
407,우루과이,lucastorreira,Galatasaray,29.0,Uruguay,manuelugarteribeiro,24.0,79.0,76.0,77.0,79.0,78.0,62.0,62.0,70.0,74.0,67.0,62.0,9.0,78.0,78.67,65.0
408,우루과이,manuelugarte,Manchester United,24.0,Uruguay,emilianoalvarez,24.0,61.0,45.0,57.0,44.0,64.0,51.0,68.0,68.0,51.0,32.0,64.0,8.33,40.0,60.33,30.0
409,우루과이,maximilianoaraujo,Sporting CP,25.0,Uruguay,matiasfonseca,24.0,66.0,69.0,62.0,56.0,58.0,47.0,66.0,66.0,61.0,67.0,67.0,11.0,57.5,35.33,73.0
410,우루과이,nahitannandez,Al Qadasiya,29.0,Uruguay,matiasfonseca,24.0,66.0,69.0,62.0,56.0,58.0,47.0,66.0,66.0,61.0,67.0,67.0,11.0,57.5,35.33,73.0
411,우루과이,nicolasfonseca,Leon,26.0,Uruguay,rodrigobentancurcolman,28.0,80.0,81.0,81.0,82.0,78.0,74.0,63.0,72.0,70.0,71.0,65.0,11.33,81.0,78.33,68.0
412,우루과이,rodrigobentancur,Tottenham Hotspur,28.0,Uruguay,rodrigozalazarmartinez,25.0,79.0,81.0,75.0,78.0,75.0,74.0,77.0,84.0,68.0,88.0,82.0,8.0,80.5,66.0,80.0
413,우루과이,rodrigozalazar,Braga,26.0,Uruguay,emilianoalvarez,24.0,61.0,45.0,57.0,44.0,64.0,51.0,68.0,68.0,51.0,32.0,64.0,8.33,40.0,60.33,30.0
414,우루과이,agustinalvarez,Monza,24.0,Uruguay,maizonrodriguez,22.0,64.0,45.0,32.0,49.0,59.0,38.0,68.0,60.0,72.0,48.0,69.0,8.33,48.0,68.33,29.0
415,우루과이,brianrodriguez,CF America,25.0,Uruguay,cristiansouzaespana,29.0,65.0,62.0,62.0,49.0,62.0,68.0,75.0,67.0,53.0,66.0,77.0,7.0,56.0,19.67,60.0
416,우루과이,cristianolivera,Gremio,23.0,Uruguay,joaquinverges,33.0,70.0,73.0,71.0,65.0,69.0,62.0,69.0,76.0,59.0,70.0,70.0,9.67,67.0,52.67,71.0
417,우루과이,darwinnunez,Al Hilal,26.0,Uruguay,facundopellistrirebollo,23.0,73.0,72.0,75.0,70.0,73.0,70.0,84.0,74.0,56.0,68.0,81.0,8.0,62.0,35.0,64.0
418,우루과이,facundopellistri,Panathinaikos,23.0,Uruguay,joaquinverges,33.0,70.0,73.0,71.0,65.0,69.0,62.0,69.0,76.0,59.0,70.0,70.0,9.67,67.0,52.67,71.0
419,우루과이,facundotorres,Palmeiras,25.0,Uruguay,federicopintadonunez,24.0,63.0,17.0,5.0,25.0,42.0,19.0,33.0,21.0,48.0,48.0,36.0,64.67,33.5,13.0,8.0
420,우루과이,federicovinas,Real Oviedo,27.0,Uruguay,ignaciososaospital,21.0,70.0,74.0,68.0,67.0,75.0,40.0,76.0,73.0,70.0,64.0,63.0,9.0,72.0,60.33,49.0
421,우루과이,ignaciolaquintana,Red Bull Bragantino,26.0,Uruguay,kevinprieto,22.0,63.0,67.0,64.0,52.0,63.0,62.0,72.0,66.0,63.0,72.0,70.0,8.67,59.5,48.0,52.0
422,우루과이,kevinamaro,Liverpool FC,21.0,Uruguay,emilianorodriguez,21.0,62.0,67.0,62.0,67.0,59.0,49.0,70.0,65.0,71.0,67.0,70.0,11.67,59.0,26.0,58.0
423,우루과이,lucianorodriguez,Neom SC,22.0,Uruguay,rodrigoabascalbarros,31.0,71.0,62.0,55.0,58.0,65.0,48.0,56.0,71.0,81.0,51.0,68.0,10.67,68.0,72.33,39.0
424,미국,rodrigoaguirre,CF America,30.0,United States,jonathanklinsmann,28.0,67.0,20.0,19.0,28.0,61.0,14.0,29.0,45.0,59.0,49.0,29.0,66.33,25.0,11.67,5.0
425,미국,jonathanklinsmann,Cesena,28.0,United States,wyattmeyer,24.0,53.0,51.0,36.0,37.0,50.0,28.0,53.0,62.0,65.0,43.0,64.0,8.67,43.5,55.33,28.0
426,미국,mattfreese,New York City FC,27.0,United States,romanmarcellocelentano,24.0,72.0,15.0,13.0,35.0,64.0,14.0,22.0,24.0,72.0,53.0,20.0,73.0,41.0,11.67,7.0
427,미국,romancelentano,FC Cincinnati,25.0,United States,alexanderrando,25.0,52.0,19.0,7.0,31.0,42.0,14.0,31.0,16.0,58.0,38.0,22.0,54.0,25.5,9.0,5.0
428,미국,alexfreeman,Orlando City,21.0,United States,christianramirez,34.0,68.0,69.0,66.0,72.0,65.0,45.0,57.0,64.0,81.0,72.0,60.0,9.67,64.5,24.33,67.0
429,미국,chrisrichards,Crystal Palace,25.0,United States,maxfloriani,22.0,61.0,58.0,29.0,57.0,48.0,42.0,64.0,64.0,67.0,40.0,61.0,11.33,59.5,63.67,33.0
430,미국,maxarfsten,Columbus Crew,24.0,United States,ethanbartlow,25.0,64.0,50.0,39.0,48.0,68.0,22.0,59.0,70.0,76.0,35.0,66.0,10.0,48.0,64.67,18.0
431,미국,nathanharriel,Philadelphia Union,24.0,United States,noahkaidominicbanks,18.0,66.0,54.0,46.0,56.0,65.0,37.0,59.0,64.0,76.0,40.0,63.0,14.33,55.0,66.67,32.0
432,미국,noahkaibanks,Augsburg,18.0,United States,seanzawadzki,25.0,68.0,69.0,66.0,67.0,67.0,50.0,70.0,73.0,70.0,60.0,75.0,8.67,70.5,67.33,44.0
433,미국,seanzawadzki,Columbus Crew,25.0,United States,serginogiannidest,24.0,79.0,82.0,84.0,75.0,77.0,76.0,89.0,76.0,68.0,65.0,86.0,13.67,75.5,74.33,60.0
434,미국,serginodest,PSV Eindhoven,24.0,United States,tombarlow,29.0,61.0,52.0,51.0,56.0,60.0,40.0,75.0,73.0,75.0,64.0,76.0,9.33,49.5,31.0,62.0
435,미국,timream,Charlotte FC,37.0,United States,tristanbrown,17.0,57.0,54.0,58.0,44.0,55.0,47.0,73.0,55.0,51.0,50.0,79.0,12.67,51.0,52.67,50.0
436,미국,tristanblackmon,Vancouver Whitecaps,29.0,United States,cristianroldan,30.0,74.0,73.0,71.0,70.0,78.0,68.0,77.0,85.0,73.0,69.0,77.0,13.33,70.5,70.67,60.0
437,미국,cristianroldan,Seattle Sounders FC,30.0,United States,jackryanmcglynn,21.0,71.0,70.0,70.0,69.0,70.0,61.0,71.0,77.0,57.0,65.0,69.0,7.67,75.5,59.33,50.0
438,미국,jackmcglynn,Houston Dynamo FC,22.0,United States,lucadanieldelatorre,27.0,72.0,74.0,72.0,67.0,67.0,72.0,72.0,89.0,52.0,58.0,57.0,9.33,74.5,63.67,66.0
439,미국,lucadelatorre,San Diego FC,27.0,United States,sebastianberhalter,24.0,67.0,66.0,64.0,66.0,69.0,65.0,72.0,86.0,63.0,56.0,71.0,9.0,67.5,66.33,55.0
440,미국,sebastianberhalter,Vancouver Whitecaps,24.0,United States,tylershaanadams,26.0,79.0,76.0,73.0,77.0,77.0,63.0,85.0,79.0,68.0,68.0,74.0,7.0,76.0,79.33,52.0
441,미국,tyleradams,AFC Bournemouth,26.0,United States,alexanderrando,25.0,52.0,19.0,7.0,31.0,42.0,14.0,31.0,16.0,58.0,38.0,22.0,54.0,25.5,9.0,5.0
442,미국,alexzendejas,CF America,27.0,United States,christianmatepulisic,26.0,84.0,86.0,86.0,83.0,85.0,80.0,90.0,76.0,57.0,81.0,86.0,12.67,78.0,47.33,85.0
443,미국,christianpulisic,Milan,27.0,United States,damionlamardowns,20.0,70.0,69.0,64.0,59.0,69.0,44.0,67.0,71.0,75.0,66.0,74.0,12.0,52.5,19.33,73.0
444,미국,damiondowns,Southampton,21.0,United States,diegoangelluna,21.0,72.0,74.0,78.0,62.0,66.0,65.0,83.0,64.0,79.0,63.0,76.0,11.0,66.0,38.67,66.0
445,미국,diegoluna,Real Salt Lake,22.0,United States,aaronraylong,32.0,71.0,60.0,58.0,68.0,67.0,38.0,77.0,79.0,80.0,46.0,78.0,9.33,64.0,69.0,38.0
446,미국,folarinbalogun,Monaco,24.0,United States,joshuacohen,32.0,68.0,14.0,14.0,26.0,67.0,11.0,31.0,22.0,55.0,49.0,23.0,67.0,26.0,9.0,7.0
447,미국,joshuasargent,Norwich City,25.0,United States,timothytarpehweah,25.0,77.0,78.0,77.0,74.0,75.0,75.0,86.0,70.0,59.0,79.0,88.0,12.0,73.5,69.0,74.0
448,스위스,timothyweah,Marseille,25.0,Switzerland,gregorkobel,27.0,86.0,34.0,24.0,66.0,84.0,13.0,38.0,30.0,81.0,48.0,52.0,86.67,36.0,15.0,10.0
449,스위스,gregorkobel,Borussia Dortmund,27.0,Switzerland,marvinkeller,22.0,72.0,11.0,14.0,24.0,61.0,16.0,38.0,26.0,61.0,53.0,39.0,73.33,26.0,14.33,7.0
450,스위스,marvinkeller,Young Boys,23.0,Switzerland,pascaldavidloretz,22.0,72.0,26.0,18.0,51.0,67.0,16.0,45.0,35.0,72.0,51.0,42.0,72.33,41.5,18.0,13.0
451,스위스,pascalloretz,Luzern,22.0,Switzerland,gianstork,18.0,52.0,50.0,45.0,39.0,53.0,42.0,62.0,46.0,52.0,50.0,61.0,10.67,54.5,52.33,31.0
452,스위스,yvonmvogo,Lorient,31.0,Switzerland,aureleflorianamenda,21.0,71.0,58.0,42.0,62.0,66.0,40.0,71.0,39.0,90.0,42.0,65.0,10.33,67.0,70.67,23.0
453,스위스,aureleamenda,Eintracht Frankfurt,22.0,Switzerland,cedriczesiger,27.0,76.0,65.0,60.0,69.0,75.0,42.0,56.0,72.0,90.0,64.0,74.0,6.67,69.0,73.0,37.0
454,스위스,cedriczesiger,Augsburg,27.0,Switzerland,isaacosa'sschmidt,25.0,72.0,72.0,73.0,65.0,64.0,60.0,87.0,80.0,60.0,58.0,86.0,8.33,60.5,67.67,55.0
455,스위스,isaacschmidt,Werder Bremen,25.0,Switzerland,lucasblondel,28.0,72.0,71.0,70.0,73.0,68.0,64.0,75.0,83.0,65.0,76.0,82.0,10.0,63.0,69.67,55.0
456,스위스,lucasblondel,Boca Juniors,29.0,Switzerland,manuelobafemiakanji,29.0,82.0,75.0,74.0,80.0,82.0,55.0,71.0,71.0,85.0,75.0,76.0,8.33,78.0,82.67,38.0
457,스위스,manuelakanji,Inter,30.0,Switzerland,nicomaier,24.0,61.0,64.0,60.0,58.0,52.0,57.0,68.0,53.0,43.0,57.0,68.0,7.67,61.5,36.33,58.0
458,스위스,miromuheim,Hamburger SV,27.0,Switzerland,nicoelvedi,28.0,77.0,68.0,62.0,70.0,73.0,65.0,68.0,70.0,79.0,50.0,71.0,10.0,66.0,77.67,30.0
459,스위스,nicoelvedi,Borussia Mönchengladbach,28.0,Switzerland,ricardoivanrodriguezaraya,32.0,74.0,76.0,76.0,77.0,74.0,82.0,67.0,74.0,71.0,84.0,66.0,13.0,76.5,71.33,58.0
460,스위스,ricardorodriguez,Real Betis,33.0,Switzerland,ardonjashari,22.0,77.0,75.0,70.0,76.0,74.0,68.0,77.0,91.0,80.0,76.0,74.0,8.67,78.0,72.0,64.0
461,스위스,ardonjashari,Milan,23.0,Switzerland,demirxhemalija,19.0,48.0,41.0,44.0,42.0,51.0,31.0,61.0,50.0,48.0,41.0,61.0,7.0,48.5,45.33,25.0
462,스위스,deniszakaria,Monaco,28.0,Switzerland,fabianrieder,23.0,74.0,75.0,74.0,74.0,67.0,54.0,75.0,75.0,59.0,73.0,73.0,12.33,74.5,52.33,70.0
463,스위스,fabianrieder,Augsburg,23.0,Switzerland,granitxhaka,32.0,85.0,82.0,73.0,84.0,86.0,77.0,40.0,84.0,78.0,89.0,53.0,9.0,89.5,78.0,67.0
464,스위스,granitxhaka,Sunderland,33.0,Switzerland,joelalmadamonteiro,25.0,73.0,75.0,74.0,66.0,69.0,60.0,80.0,77.0,83.0,70.0,82.0,7.0,67.0,44.33,74.0
465,스위스,joelmonteiro,Young Boys,26.0,Switzerland,johanmanzambi,19.0,67.0,70.0,72.0,63.0,65.0,52.0,80.0,60.0,64.0,66.0,70.0,10.0,63.0,55.0,65.0
466,스위스,johanmanzambi,Freiburg,19.0,Switzerland,michelaebischer,28.0,74.0,78.0,73.0,72.0,72.0,68.0,73.0,72.0,69.0,73.0,61.0,11.33,73.5,75.0,66.0
467,스위스,michelaebischer,Pisa,28.0,Switzerland,remomarcofreuler,33.0,81.0,83.0,76.0,83.0,82.0,65.0,63.0,91.0,67.0,75.0,53.0,13.0,80.5,79.67,70.0
468,스위스,remofreuler,Bologna,33.0,Switzerland,silvanelisidler,26.0,64.0,58.0,62.0,59.0,60.0,65.0,67.0,74.0,62.0,65.0,61.0,8.33,62.5,61.0,57.0
469,스위스,silvanwidmer,Mainz 05,32.0,Switzerland,gianstork,18.0,52.0,50.0,45.0,39.0,53.0,42.0,62.0,46.0,52.0,50.0,61.0,10.67,54.5,52.33,31.0
