,Nation,Eng_Nation,Name,Club,Position,Age,FS_0,FS_1,FS_2,FS_3,FS_4,FS_5,FS_6,FS_7,FS_8,FS_9,FS_10,FS_11,FS_12,FS_13,FS_14,Position_Class
171,대한민국,South Korea,Hyeon-gyu Oh오현규,KRC Genk,ST,24,71,69,65,55,72,48,72,74,84,75,82,10.33,52.5,42.67,73,FW
172,덴마크,Denmark,Frederik Riis Rønnow,1. FC Union Berlin,GK,32,80,12,13,31,76,14,48,32,67,52,45,80.0,27.5,13.0,9,GK
173,덴마크,Denmark,Kasper Peter Schmeichel,Celtic,GK,38,79,40,12,65,79,18,38,31,72,61,47,78.67,62.5,13.67,12,GK
174,덴마크,Denmark,Filip Jørgensen,Chelsea,GK,23,77,40,18,55,74,10,45,35,62,54,45,77.33,46.0,14.33,11,GK
175,덴마크,Denmark,Andreas Bødtker Christensen,FC Barcelona,CB,29,80,77,67,79,80,51,52,67,78,37,73,8.0,80.0,81.33,36,DF
176,덴마크,Denmark,Rasmus Nissen Kristensen,Eintracht Frankfurt,RB,27,79,75,72,74,81,77,66,84,78,75,72,8.67,69.5,77.67,60,DF
177,덴마크,Denmark,Joachim Christian Andersen,Fulham FC,CB,29,78,68,66,78,78,54,36,70,87,75,42,14.0,81.5,78.33,51,DF
178,덴마크,Denmark,Joakim Mæhle Pedersen,VfL Wolfsburg,LB,28,78,79,74,73,79,75,77,83,74,65,73,10.0,73.0,74.33,50,DF
179,덴마크,Denmark,Alexander Hartmann Bah,SL Benfica,RB,27,78,74,75,76,76,75,88,84,78,81,91,9.33,70.5,73.0,59,DF
180,덴마크,Denmark,Rasmus Schmidt Nicolaisen,Toulouse FC,CB,28,76,68,54,76,73,39,45,72,84,51,52,10.67,71.5,76.33,41,DF
181,덴마크,Denmark,Victor Enok Nelsson,Hellas Verona FC,CB,26,75,68,63,74,72,46,60,68,79,60,62,10.33,68.0,76.67,36,DF
182,덴마크,Denmark,Victor Bernth Kristiansen,Leicester City,LB,22,75,74,74,66,72,75,70,81,69,80,67,9.33,68.0,73.33,52,DF
183,덴마크,Denmark,Asger Strømgaard Sørensen,Sparta Praha,CB,29,74,67,58,67,76,47,39,66,85,68,71,11.67,68.5,74.0,38,DF
184,덴마크,Denmark,Morten Blom Due Hjulmand,Sporting CP,CDM,26,83,80,76,82,81,72,69,91,81,82,71,9.33,80.5,79.67,76,MF
185,덴마크,Denmark,Pierre-Emile Kordt Højbjerg,Olympique de Marseille,CDM,29,82,79,75,79,82,68,52,81,78,85,47,10.33,82.5,77.67,68,MF
186,덴마크,Denmark,Mikkel Krogh Damsgaard,Brentford,CAM,24,80,80,81,81,80,79,70,78,62,72,66,8.0,82.5,66.0,74,MF
187,덴마크,Denmark,Christian Thers Nørgaard,Arsenal,CDM,31,80,76,69,77,80,68,52,82,78,72,47,12.0,79.5,78.67,63,MF
188,덴마크,Denmark,Matthew Sean O'Riley,Olympique de Marseille,CAM,24,78,78,76,79,79,74,67,78,72,81,68,11.0,80.0,67.0,77,MF
189,덴마크,Denmark,Jens Dalsgaard Stage,SV Werder Bremen,CM,28,78,80,76,77,79,68,67,82,78,77,60,9.0,78.0,72.67,74,MF
190,덴마크,Denmark,Mathias Jensen,Brentford,CM,29,77,76,74,78,78,79,64,76,68,63,63,8.33,80.0,69.33,64,MF
191,덴마크,Denmark,Jens Odgaard,Bologna,CAM,26,76,76,76,70,78,67,74,79,75,80,73,9.0,72.5,38.33,78,MF
192,덴마크,Denmark,Mika Miles Biereth,AS Monaco,ST,22,78,75,70,77,78,57,69,73,79,78,79,10.33,63.5,26.67,83,FW
193,덴마크,Denmark,Jonas Older Wind,VfL Wolfsburg,ST,26,78,81,77,77,81,58,66,73,82,82,50,9.0,74.5,28.67,82,FW
194,덴마크,Denmark,Anders Laustrup Dreyer,San Diego FC,RW,27,77,76,76,78,71,76,84,80,60,84,73,9.33,74.5,41.0,76,FW
195,덴마크,Denmark,Andreas Skov Olsen,VfL Wolfsburg,RW,25,77,80,80,72,66,76,85,72,70,80,81,10.33,71.0,35.67,77,FW
196,덴마크,Denmark,Kasper Dolberg Rasmussen,Ajax,ST,27,77,77,72,74,72,50,67,70,82,80,77,7.67,65.0,23.67,81,FW
197,덴마크,Denmark,Rasmus Winther Højlund,Napoli,ST,22,76,73,75,72,73,38,84,70,82,84,86,11.0,61.0,26.33,77,FW
198,독일,Germany,Marc-André ter Stegen,FC Barcelona,GK,33,86,30,21,70,84,18,45,35,78,67,50,84.33,62.0,16.0,14,GK
199,독일,Germany,Manuel Peter Neuer,FC Bayern München,GK,39,84,44,30,67,83,15,29,43,80,68,35,82.67,63.5,12.67,13,GK
200,독일,Germany,Oliver Baumann,TSG 1899 Hoffenheim,GK,35,83,17,19,52,82,14,37,39,69,59,41,82.0,32.0,15.67,11,GK
201,독일,Germany,Jonathan Glao Tah,FC Bayern München,CB,29,87,70,60,79,85,39,53,76,91,60,71,11.33,73.0,87.0,32,DF
202,독일,Germany,Antonio Rüdiger,Real Madrid,CB,32,86,74,69,80,85,68,70,70,91,84,87,11.33,82.0,84.33,40,DF
203,독일,Germany,Nico Cedric Schlotterbeck,Borussia Dortmund,CB,25,85,71,74,78,84,70,77,74,85,81,72,11.67,82.0,86.33,51,DF
204,독일,Germany,Matthias Lukas Ginter,SC Freiburg,CB,31,82,75,61,77,84,68,54,57,83,79,56,10.0,76.0,84.67,54,DF
205,독일,Germany,Waldemar AntonРипцов-Антон Владимир Александрович,Borussia Dortmund,CB,28,82,70,64,80,82,52,64,79,85,60,73,12.33,76.0,83.33,42,DF
206,독일,Germany,Robin Leon Koch,Eintracht Frankfurt,CB,28,82,75,60,82,82,41,59,77,82,58,72,7.67,77.0,81.67,40,DF
207,독일,Germany,Emre Can,Borussia Dortmund,CB,31,82,75,73,83,79,63,67,76,86,85,85,12.67,75.5,83.33,71,DF
208,독일,Germany,David Raum,RB Leipzig,LB,27,82,79,79,78,78,88,86,89,75,64,86,9.67,77.5,77.0,59,DF
209,독일,Germany,Maximilian Mittelstädt,VfB Stuttgart,LB,28,82,77,77,76,80,87,79,84,67,74,83,13.0,76.5,78.0,56,DF
210,독일,Germany,Florian Richard Wirtz,Liverpool,CAM,22,89,92,90,86,88,87,82,87,59,78,79,10.0,89.0,52.33,84,MF
211,독일,Germany,Joshua Walter Kimmich,FC Bayern München,CDM,30,89,86,82,86,89,92,75,92,69,78,70,12.67,90.5,84.33,68,MF
212,독일,Germany,Jamal Musiala,FC Bayern München,CAM,22,88,85,94,83,89,70,85,73,61,80,75,8.33,83.0,63.67,86,MF
213,독일,Germany,Julian Brandt,Borussia Dortmund,CAM,29,83,85,84,85,82,78,67,85,72,82,79,9.33,84.0,39.0,77,MF
214,독일,Germany,Angelo Stiller,VfB Stuttgart,CDM,24,83,85,83,84,85,77,68,80,67,73,47,8.33,85.5,74.67,49,MF
215,독일,Germany,İlkay Gündoğan,Galatasaray SK,CM,34,83,84,81,84,84,77,54,67,66,81,54,9.67,85.0,74.0,79,MF
216,독일,Germany,Felix Kalu Nmecha,Borussia Dortmund,CDM,24,82,82,83,79,80,59,77,78,90,81,86,9.0,80.0,80.33,73,MF
217,독일,Germany,Mario Götze,Eintracht Frankfurt,CM,33,82,88,84,88,84,79,68,75,65,75,53,10.0,86.5,54.33,76,MF
218,독일,Germany,Jonathan Michael Burkardt,Eintracht Frankfurt,ST,24,82,81,82,76,83,62,82,78,76,83,83,11.33,67.0,38.67,86,FW
219,독일,Germany,Kai Lukas Havertz,Arsenal,ST,26,82,85,84,78,81,75,71,85,75,81,72,9.33,79.5,44.33,80,FW
220,독일,Germany,Tim Kleindienst,Borussia Mönchengladbach,ST,29,81,79,68,85,81,50,59,92,87,84,74,9.33,65.5,33.33,83,FW
221,독일,Germany,Deniz Undav,VfB Stuttgart,ST,28,80,83,78,82,80,67,67,70,80,84,65,11.0,72.0,30.33,83,FW
222,독일,Germany,Niclas Füllkrug,West Ham United,ST,32,79,77,74,79,80,65,53,55,86,86,60,12.33,68.0,39.0,81,FW
223,독일,Germany,Nick Woltemade,Newcastle United,ST,23,79,80,83,77,79,46,64,71,81,81,69,9.33,70.0,35.33,82,FW
224,멕시코,Mexico,Luis Ángel Malagón Velázquez,,GK,28,79,16,8,42,63,11,25,21,51,54,24,81.67,21.0,13.0,9,GK
225,멕시코,Mexico,Carlos Agustín Moreno Luna,,GK,27,72,16,14,26,55,12,35,25,79,55,40,72.67,23.0,11.0,8,GK
226,멕시코,Mexico,José Raúl Rangel Aguilar,,GK,25,72,18,7,33,55,12,32,29,55,56,31,74.33,28.5,11.67,6,GK
227,멕시코,Mexico,César Jasib Montes Castro,,CB,28,75,64,60,73,72,41,62,76,81,55,53,9.0,68.5,74.33,48,DF
228,멕시코,Mexico,Johan Felipe Vásquez Ibarra,Genoa,CB,26,75,68,53,69,76,62,59,80,67,38,62,10.33,62.5,76.0,32,DF
229,멕시코,Mexico,Jesús Daniel Gallardo Vasconcelos,,LB,30,75,74,76,68,67,75,84,88,71,75,82,10.67,69.5,69.67,69,DF
230,멕시코,Mexico,Julián Vicente Araujo Zúñiga,AFC Bournemouth,RB,23,74,69,68,68,70,70,86,73,69,50,80,13.67,64.5,72.0,25,DF
231,멕시코,Mexico,Jesús Gilberto Orozco Chiquete,,CB,23,73,50,33,55,53,33,64,70,72,47,66,10.67,67.5,75.33,25,DF
232,멕시코,Mexico,Jorge Eduardo Sánchez Ramos,,RB,27,73,68,70,66,70,64,84,84,75,67,84,9.67,64.0,68.67,44,DF
233,멕시코,Mexico,Juan José Sánchez Purata,,CB,27,72,64,50,59,68,37,51,54,81,58,54,11.33,61.5,71.0,44,DF
234,멕시코,Mexico,Mateo Chávez García,AZ Alkmaar,LB,21,72,70,71,63,67,69,81,80,58,59,83,8.67,63.5,68.0,41,DF
235,멕시코,Mexico,Rodrigo Jhossel Huescas Hurtado,FC København,RB,21,72,70,70,62,64,68,82,82,49,68,84,11.0,70.0,67.33,62,DF
236,멕시코,Mexico,Edson Omar Álvarez Velázquez,Fenerbahçe SK,CDM,27,78,76,72,76,77,64,64,72,80,74,65,6.67,77.0,77.33,57,MF
237,멕시코,Mexico,Erick Daniel Sánchez Ocegueda,,CM,25,78,74,72,72,70,68,73,82,69,83,74,10.33,81.0,74.33,72,MF
238,멕시코,Mexico,Roberto Carlos Alvarado Hernández,,RM,26,78,76,76,68,71,75,80,82,65,77,81,11.67,75.5,52.0,68,MF
239,멕시코,Mexico,Orbelín Pineda Alvarado,AEK Athens,CAM,29,77,80,81,70,78,73,82,84,58,76,81,11.67,73.0,67.67,73,MF
240,멕시코,Mexico,Carlos Alberto Rodríguez Gómez,,CAM,28,76,77,77,80,73,63,78,83,62,66,77,10.0,77.5,66.0,72,MF
241,멕시코,Mexico,Diego Lainez Leyva,,RM,25,76,82,81,74,67,75,83,67,42,71,78,10.0,69.5,56.67,64,MF
242,멕시코,Mexico,Marcel Alejandro Ruiz Suárez,,CM,24,75,77,74,68,69,64,74,82,64,72,74,9.67,78.5,66.33,60,MF
243,멕시코,Mexico,Érik Antonio Lira Méndez,,CDM,25,73,72,66,57,65,50,76,81,68,71,72,11.67,78.5,73.0,53,MF
244,멕시코,Mexico,Julián Andrés Quiñones Quiñones,Al Qadsiah FC,ST,28,80,78,82,67,72,58,89,87,89,80,88,9.33,71.5,33.0,83,FW
245,멕시코,Mexico,Santiago Tomás Giménez,AC Milan,ST,24,79,78,77,78,75,64,77,64,68,83,79,7.33,71.5,35.33,82,FW
246,멕시코,Mexico,Hirving Rodrigo Lozano Bahena,San Diego FC,LW,29,78,78,80,74,81,71,89,60,54,75,87,11.67,68.5,35.33,75,FW
247,멕시코,Mexico,Ernesto Alexis Vega Rojas,,LW,27,78,80,81,75,72,71,81,75,75,82,79,6.67,75.0,27.0,76,FW
248,멕시코,Mexico,Germán Berterame,,ST,26,78,74,77,76,71,75,80,79,75,80,75,12.67,59.5,27.67,83,FW
249,멕시코,Mexico,Raúl Alonso Jiménez Rodríguez,Fulham FC,ST,34,77,78,75,76,79,70,61,67,85,82,54,10.33,75.0,37.0,79,FW
250,모로코,Morocco,Yassine Bounouياسين بونو,Al Hilal,GK,34,82,12,20,57,76,15,38,43,69,57,37,82.67,41.5,17.67,14,GK
251,모로코,Morocco,Munir Mohand Mohamedi El Kajouiمنير مهند محمدي,,GK,36,74,31,19,50,67,21,49,43,77,51,47,74.0,31.5,18.0,19,GK
252,모로코,Morocco,Ahmed Reda Tagnaoutiأحمد رضى التغناوتي,,GK,29,70,20,19,40,70,16,37,32,71,50,40,69.0,22.5,12.33,8,GK
253,모로코,Morocco,Achraf Hakimi Mouhأشرف حكيمي,Paris Saint-Germain,RB,26,89,85,82,84,90,85,89,95,72,82,95,8.0,79.5,82.0,80,DF
254,모로코,Morocco,Nayef Aguerdنايف أكرد,Olympique de Marseille,CB,29,81,75,60,74,80,48,65,72,78,69,78,9.0,77.0,81.67,40,DF
255,모로코,Morocco,Noussair Mazraouiنصير مزراوي,Manchester United,RB,27,80,81,80,79,79,79,78,76,69,68,73,12.0,77.0,77.67,69,DF
256,모로코,Morocco,Romain Ghanem Paul Saïssرومان غانم بول سايس,,CB,35,79,73,62,78,78,54,55,74,83,67,60,9.33,78.0,78.67,55,DF
257,모로코,Morocco,Omar El Hilaliعمر الهلالي,RCD Espanyol,RB,21,77,71,68,63,73,70,85,80,73,55,85,12.33,70.0,74.67,35,DF
258,모로코,Morocco,Zakaria El Ouahdiزكريا الواحدي,KRC Genk,RB,23,76,75,77,72,76,73,81,91,63,69,67,9.0,68.5,72.33,67,DF
259,모로코,Morocco,Souffian El Karouani,FC Utrecht,LB,24,75,74,74,71,74,86,75,78,66,63,67,8.33,72.0,70.0,41,DF
260,모로코,Morocco,Adam Masinaأدم ماسينا,Torino,CB,31,74,72,68,72,71,72,55,53,68,63,68,9.0,69.5,76.0,30,DF
261,모로코,Morocco,Abdelkabir Abqarعبد الكبير أبقار,Getafe CF,CB,26,74,71,66,58,74,35,35,63,72,42,60,10.0,69.0,76.33,27,DF
262,모로코,Morocco,Brahim Abdelkader Díazابراهيم عبد القادر دياز,Real Madrid,RM,25,82,85,84,79,80,76,83,69,58,73,82,9.67,79.5,28.0,76,MF
263,모로코,Morocco,Ismael Saibari Ben El Basraإسماعيل صيباري,PSV,CAM,23,79,84,83,74,80,71,81,79,83,79,76,11.0,74.5,49.0,75,MF
264,모로코,Morocco,Sofyan Amrabatسفيان أمرابط,Real Betis Balompié,CDM,28,78,77,74,76,74,64,62,79,82,81,61,13.67,77.5,76.0,65,MF
265,모로코,Morocco,Soufiane Rahimiسفيان رحيمي,Al Ain,LM,29,78,75,79,74,75,72,87,81,62,71,84,10.0,70.0,33.0,79,MF
266,모로코,Morocco,Hakim Ziyechحكيم زياش,,RM,32,78,81,80,80,72,81,73,63,60,83,72,11.0,81.0,46.0,71,MF
267,모로코,Morocco,Neil El Aynaouiنييل العيناوي,Roma,CM,23,77,78,75,75,77,74,57,82,75,64,66,9.67,79.0,70.67,61,MF
268,모로코,Morocco,Abdessamad Ezzalzouliعبد الصمد الزلزولي,Real Betis Balompié,LM,23,77,80,84,70,73,72,87,70,57,73,87,9.33,68.5,28.33,70,MF
269,모로코,Morocco,Mourad Batnaمراد باتنا,Al Fateh,RM,35,77,78,79,78,77,77,71,75,84,81,72,9.67,73.0,31.0,75,MF
270,모로코,Morocco,Youssef En-Nesyriيوسف النصيري,Fenerbahçe SK,ST,28,82,79,76,75,84,60,73,80,80,83,83,11.67,67.0,28.33,83,FW
271,모로코,Morocco,Ayoub El Kaabiأيوب الكعبي,Olympiacos FC,ST,32,80,79,72,72,80,60,80,78,77,83,83,11.67,56.5,42.0,84,FW
272,모로코,Morocco,Abderrazak Hamdallahعبد الرزاق حمد الله,Al Shabab,ST,34,79,86,77,77,82,66,51,80,80,78,65,11.33,67.5,25.0,84,FW
273,모로코,Morocco,Amine Adliأمين عدلي,AFC Bournemouth,ST,25,78,82,83,71,76,66,87,64,67,79,82,10.0,69.0,39.0,79,FW
274,모로코,Morocco,Sofiane Diopسفيان داودا ديوب,OGC Nice,LW,25,76,80,81,74,71,76,80,74,37,72,74,10.67,72.0,53.0,68,FW
275,모로코,Morocco,Anass Zarouryأنس الزعروري,Panathinaikos FC,LW,24,74,75,76,72,70,71,86,73,57,80,82,9.0,66.0,22.33,67,FW
276,미국,United States,Matthew Charles Turner,New England Revolution,GK,31,74,24,16,59,71,13,38,35,64,50,42,73.67,26.5,11.0,15,GK
277,미국,United States,Zackary Thomas Steffen,Colorado Rapids,GK,30,73,31,15,57,66,14,54,39,69,53,52,73.0,52.0,12.33,9,GK
278,미국,United States,Stefan Frei,Seattle Sounders FC,GK,39,72,26,18,50,63,15,30,25,67,50,30,73.0,32.0,14.67,17,GK
279,미국,United States,Antonee Robinson,Fulham FC,LB,27,82,77,79,73,80,81,87,90,73,46,89,11.67,75.0,78.33,44,DF
280,미국,United States,Cameron Robert Carter-Vickers,Celtic,CB,27,79,76,65,79,80,37,79,74,90,65,78,13.0,73.0,77.0,24,DF
281,미국,United States,Sergiño Gianni Dest,PSV,RB,24,79,82,84,75,77,76,89,76,68,65,86,13.67,75.5,74.33,60,DF
282,미국,United States,Christopher Jeffrey Richards,Crystal Palace,CB,25,77,64,59,61,76,44,64,71,80,36,67,8.67,67.5,78.0,23,DF
283,미국,United States,Walker Dwain Zimmerman,Nashville SC,CB,32,75,64,48,75,75,39,50,77,87,57,60,10.67,68.5,72.0,52,DF
284,미국,United States,Auston Levi-Jesaiah Trusty,Celtic,CB,26,74,62,59,68,74,53,74,81,85,56,81,11.67,64.0,72.67,42,DF
285,미국,United States,Mark Alexander McKenzie,Toulouse FC,CB,26,74,66,59,69,72,25,78,75,80,34,82,10.0,70.0,74.33,37,DF
286,미국,United States,Joseph Michael Scally,Borussia Mönchengladbach,RB,22,74,68,68,60,69,54,80,85,74,51,85,10.67,63.5,72.33,49,DF
287,미국,United States,Miles Gordon Robinson,FC Cincinnati,CB,28,73,68,66,69,74,26,83,78,80,49,81,7.67,68.5,72.33,29,DF
288,미국,United States,Malik Leon Tillman,Bayer 04 Leverkusen,CAM,23,82,84,83,78,81,69,83,76,82,77,84,10.0,77.5,62.0,75,MF
289,미국,United States,João Lucas de Souza Cardoso,Atlético Madrid,CDM,23,81,82,77,75,77,65,74,77,77,74,71,9.67,81.5,79.33,63,MF
290,미국,United States,Tyler Shaan Adams,AFC Bournemouth,CDM,26,79,76,73,77,77,63,85,79,68,68,74,7.0,76.0,79.33,52,MF
291,미국,United States,Weston James Earl McKennie,Juventus,CM,26,78,78,78,78,77,78,75,81,77,76,78,9.0,77.5,78.33,68,MF
292,미국,United States,Timothy Tarpeh Weah,Olympique de Marseille,RM,25,77,78,77,74,75,75,86,70,59,79,88,12.0,73.5,69.0,74,MF
293,미국,United States,Alejandro Zendejas Saavedra,,RM,27,76,79,83,60,60,74,84,74,67,61,86,8.33,70.5,47.67,73,MF
294,미국,United States,Đorđe Aleksandar Mihailović,Toronto FC,CAM,26,75,75,73,73,76,77,74,85,61,75,71,13.67,74.5,55.0,74,MF
295,미국,United States,Francis Tanner James Tessmann,Olympique Lyonnais,CDM,23,75,74,71,74,73,58,51,79,84,79,62,8.33,76.5,71.0,55,MF
296,미국,United States,Christian Mate Pulišić,AC Milan,RW,26,84,86,86,83,85,80,90,76,57,81,86,12.67,78.0,47.33,85,FW
297,미국,United States,Folarin Jolaoluwa Jerry Balogun,AS Monaco,ST,23,77,77,78,77,76,58,82,65,73,79,85,11.0,63.0,16.33,79,FW
298,미국,United States,Ricardo Daniel Pepi,PSV,ST,22,76,73,72,68,72,47,74,77,74,79,72,10.33,65.0,39.33,83,FW
299,미국,United States,Joshua Thomas Sargent,Norwich City,ST,25,75,69,68,73,73,58,74,85,82,82,74,8.33,61.5,41.0,77,FW
300,미국,United States,Brian White,Vancouver Whitecaps FC,ST,29,75,73,65,68,77,44,75,78,81,78,78,8.0,50.0,37.33,79,FW
301,미국,United States,Kevin Alexander Paredes,VfL Wolfsburg,LW,22,73,76,79,57,71,68,85,48,34,64,80,9.0,66.0,60.67,65,FW
302,벨기에,Belgium,Thibaut Nicolas Marc Courtois,Real Madrid,GK,33,89,23,13,66,88,14,42,38,70,57,52,87.67,34.0,18.0,14,GK
303,벨기에,Belgium,Matz Willy Els Sels,Nottingham Forest,GK,33,83,33,19,62,80,16,37,26,67,59,35,82.67,50.5,14.33,16,GK
304,벨기에,Belgium,Koen Casteels,Al Qadsiah FC,GK,33,82,23,14,40,79,15,44,44,72,56,46,83.33,36.0,15.67,15,GK
305,벨기에,Belgium,Arthur Nicolas Theate,Eintracht Frankfurt,CB,25,80,75,70,77,80,68,66,82,82,70,68,9.33,76.5,79.67,23,DF
306,벨기에,Belgium,Maxim De Cuyper,Brighton & Hove Albion,LB,24,80,80,78,82,77,85,78,87,67,78,75,8.67,78.5,75.67,70,DF
307,벨기에,Belgium,Axel Laurent Angel Lambert Witsel,Girona FC,CB,36,77,78,75,83,78,68,30,35,80,64,31,7.33,80.0,77.67,62,DF
308,벨기에,Belgium,Matte Smets,KRC Genk,CB,21,76,76,59,70,75,54,64,80,73,52,65,9.67,80.0,78.33,25,DF
309,벨기에,Belgium,Brandon Mechele,Club Brugge KV,CB,32,76,59,49,78,68,42,46,80,80,63,51,12.0,72.0,79.33,38,DF
310,벨기에,Belgium,Thomas Andre A. Meunier,Lille OSC,RB,33,76,72,75,74,73,80,60,78,84,80,66,7.67,71.0,74.33,70,DF
311,벨기에,Belgium,Timothy Castagne,Fulham FC,RB,29,76,75,71,68,75,76,67,78,66,65,68,13.0,72.0,74.0,56,DF
312,벨기에,Belgium,Koni De Winter,AC Milan,CB,23,74,67,66,64,71,59,65,76,70,52,69,10.0,66.5,76.33,30,DF
313,벨기에,Belgium,Sebastiaan Bornauw,Leeds United,CB,26,74,58,52,67,70,57,66,53,81,61,71,10.67,67.5,73.0,44,DF
314,벨기에,Belgium,Kevin De Bruyne,Napoli,CM,34,87,89,85,87,89,93,65,66,74,90,66,12.67,92.5,63.33,78,MF
315,벨기에,Belgium,Youri Tielemans,Aston Villa,CM,28,85,86,79,88,85,80,51,87,69,85,57,10.67,87.5,77.0,77,MF
316,벨기에,Belgium,Charles De Ketelaere,Atalanta,CAM,24,82,86,85,73,77,76,71,78,68,82,70,9.0,81.5,52.67,78,MF
317,벨기에,Belgium,Dodi Lukébakio Ngandoli,SL Benfica,RM,27,82,84,86,80,80,78,86,72,69,85,87,10.67,72.5,28.0,82,MF
318,벨기에,Belgium,Hans Vanaken,Club Brugge KV,CAM,32,80,83,79,91,82,77,39,91,79,76,50,13.0,87.0,54.33,81,MF
319,벨기에,Belgium,Amadou Zeund Georges Ba Mvom Onana,Aston Villa,CDM,23,79,78,76,74,75,58,64,76,83,75,82,8.67,78.5,79.0,57,MF
320,벨기에,Belgium,Alexis Jesse Saelemaekers,AC Milan,RM,26,79,81,81,74,79,80,83,77,54,64,77,11.0,73.5,68.0,68,MF
321,벨기에,Belgium,Zeno Koen Debast,Sporting CP,CDM,21,78,78,76,73,77,77,66,81,73,68,73,5.67,79.0,77.0,51,MF
322,벨기에,Belgium,Romelu Menama Lukaku Bolingoli,Napoli,ST,32,84,80,76,82,84,68,71,74,94,86,86,8.33,75.0,35.0,84,FW
323,벨기에,Belgium,Leandro Trossard,Arsenal,LW,30,83,84,84,84,82,79,87,76,55,83,75,9.33,79.5,26.33,83,FW
324,벨기에,Belgium,Ikoma Loïs Openda,Juventus,ST,25,83,81,79,80,84,69,94,83,80,85,96,10.0,67.0,23.67,84,FW
325,벨기에,Belgium,Yannick Ferreira Carrasco,Al Shabab,LW,31,81,83,88,82,76,79,86,76,63,84,87,9.67,74.5,59.33,77,FW
326,벨기에,Belgium,Jérémy Doku,Manchester City,LW,23,80,81,91,75,75,70,95,63,73,77,88,10.67,72.5,31.67,72,FW
327,벨기에,Belgium,Saint-Cyr Johan Bakayoko,RB Leipzig,RW,22,78,81,83,71,73,73,87,70,68,69,83,7.33,65.0,28.67,74,FW
328,브라질,Brazil,Alisson Ramsés Becker,Liverpool,GK,32,89,42,27,66,87,17,60,32,78,65,49,88.33,59.0,16.67,13,GK
329,브라질,Brazil,Ederson Santana de Moraes,Fenerbahçe SK,GK,31,85,45,30,70,82,20,64,44,78,68,63,83.0,66.5,17.33,14,GK
330,브라질,Brazil,Lucas Luciano Mantela Patrício,Palmeiras,GK,25,82,23,17,48,76,13,35,44,85,64,34,79.0,23.5,17.0,15,GK
331,브라질,Brazil,Gabriel dos Santos Magalhães,Arsenal,CB,27,88,71,64,79,88,42,61,71,89,62,67,9.67,77.5,88.0,37,DF
332,브라질,Brazil,Marcos Aoás Corrêa,Paris Saint-Germain,CB,31,87,79,69,86,86,68,75,79,79,65,80,9.67,84.5,89.0,59,DF
333,브라질,Brazil,Gleison Bremer Silva Nascimento,Juventus,CB,28,85,68,62,78,78,46,78,65,84,68,86,8.0,72.0,86.0,49,DF
334,브라질,Brazil,Éder Gabriel Militão,Real Madrid,CB,27,84,72,70,76,83,69,80,85,79,62,83,12.67,77.0,84.33,48,DF
335,브라질,Brazil,Murillo Santiago Costa dos Santos,Nottingham Forest,CB,22,83,73,69,79,82,53,83,70,90,72,78,13.0,76.5,83.33,33,DF
336,브라질,Brazil,Roger Ibañez da Silva,Al Ahli SFC,CB,26,82,76,45,74,79,34,87,85,84,45,87,10.0,55.5,83.0,27,DF
337,브라질,Brazil,Carlos Augusto Zopalato Neves,Inter,LB,26,81,80,80,78,81,79,79,80,72,79,78,12.0,76.0,79.33,68,DF
338,브라질,Brazil,Welington Kauê Dano Nascimento,Atlético Mineiro,LB,25,81,78,77,82,80,82,78,89,68,55,80,10.0,74.5,76.0,51,DF
339,브라질,Brazil,Tony Josimar Abranjes Meneses,Internacional,CB,33,80,68,47,72,74,39,65,81,91,61,69,9.0,66.0,79.67,31,DF
340,브라질,Brazil,Raphael Dias Belloli,FC Barcelona,LM,28,89,88,88,85,87,86,90,91,65,83,91,10.0,82.5,47.0,87,MF
341,브라질,Brazil,Bruno Guimarães Rodrigues Moura,Newcastle United,CM,27,86,86,86,88,85,76,66,90,76,76,66,9.67,88.0,80.33,73,MF
342,브라질,Brazil,Matheus Santos Carneiro da Cunha,Manchester United,CAM,26,83,87,85,83,82,79,78,82,73,87,76,10.67,78.0,41.0,85,MF
343,브라질,Brazil,Ronaldo Jailson Cabrais Petri,Botafogo,CAM,29,83,83,85,81,84,83,90,88,68,82,87,13.33,82.5,30.67,74,MF
344,브라질,Brazil,Malcom Filipe Silva de Oliveira,Al Hilal,CAM,28,82,84,84,77,79,78,92,88,73,80,87,8.0,77.5,41.0,77,MF
345,브라질,Brazil,Fábio Henrique Tavares,Al Ittihad,CDM,31,82,82,78,86,77,76,45,83,78,81,59,9.67,83.5,81.0,63,MF
346,브라질,Brazil,Éderson José dos Santos Lourenço da Silva,Atalanta,CM,25,82,84,81,84,80,70,78,89,77,78,78,13.33,83.0,79.67,72,MF
347,브라질,Brazil,Joelinton Cassio Apolinário de Lira,Newcastle United,CM,28,82,83,83,83,85,73,69,89,90,84,78,11.67,81.5,80.0,75,MF
348,브라질,Brazil,Vinicius José Paixão de Oliveira Junior,Real Madrid,LW,24,89,90,93,83,85,81,95,84,65,81,95,7.33,80.0,25.0,88,FW
349,브라질,Brazil,Rodrygo Silva de Goes,Real Madrid,RW,24,85,87,88,85,83,79,89,81,59,76,87,7.33,76.0,29.33,83,FW
350,브라질,Brazil,Sávio Moreira de Oliveira,Manchester City,RW,21,82,85,87,85,79,83,89,73,45,70,85,10.0,75.5,30.67,74,FW
