,name,age,year,nation,current_rating,ball_control,dribbling,composure,reaction,crossing,acceleration,stamina,strength,shot_power,sprint_speed,finishing,gk,passing,defending,mentality_penalties
21407,Nicolás Andrés Freitas Silva,28,2016,Uruguay,69,70,61,,62,46,65,65,78,49,61,29,19,71,70,50.0
21408,Lorenzo Pasciuti,25,2016,Italy,69,70,70,,65,72,87,79,65,56,79,50,14,70,57,47.0
21409,Maximilian Philipp,21,2016,Germany,69,74,75,,68,60,81,62,65,67,77,60,16,71,27,61.0
21410,Javier Güemez López,23,2016,Mexico,69,73,69,,70,66,71,86,86,70,68,61,17,67,71,51.0
21411,Bartolomeu Jacinto Quissanga,24,2016,Angola,69,49,36,,59,36,65,69,73,49,74,30,16,47,76,48.0
21412,Jorge Hernán Menosse Acosta,28,2016,Uruguay,69,44,34,,54,36,49,60,81,65,45,28,16,38,73,48.0
21413,Edson Felipe da Cruz,24,2016,Brazil,69,69,63,,67,55,69,70,73,79,72,59,18,63,72,51.0
21414,Patrik Ulf Anders Carlgren,23,2016,Sweden,69,22,14,,73,13,33,34,70,17,33,13,69,23,12,21.0
21415,Mame Baba Thiam,22,2016,Senegal,69,73,68,,60,63,79,75,78,71,83,70,17,65,20,61.0
21416,Aníbal Cesis Godoy Lemus,25,2016,Panama,69,65,64,,69,42,63,78,73,57,55,49,16,79,66,36.0
21417,José Javier Abella Fanjul,21,2016,Mexico,69,65,67,,66,66,78,81,56,57,75,33,18,63,68,55.0
21418,José Luis Palomino,25,2016,Argentina,69,65,62,,64,69,63,72,83,47,58,24,17,67,72,44.0
21419,Stipe Vučur,23,2016,Austria,69,46,30,,65,25,53,67,92,39,70,20,15,52,74,38.0
21420,Javier Osvaldo Mendoza,22,2016,Argentina,69,74,75,,65,65,82,73,42,64,79,60,17,66,21,57.0
21421,Michael Olaitan,22,2016,Nigeria,69,74,75,,66,65,83,67,67,66,80,72,17,68,34,58.0
21422,Dominic Iorfa,20,2016,England,69,67,67,,61,56,87,70,80,47,89,25,16,60,73,31.0
21423,Javier Andrés Sanguinetti,24,2016,Argentina,69,71,73,,68,63,81,83,56,61,74,53,16,71,36,38.0
21424,Stipe Perica,19,2016,Croatia,69,65,59,,65,44,70,68,74,73,74,74,18,46,23,65.0
21425,Leonel Jonás Aguirre Avalo,23,2016,Argentina,69,70,73,,64,62,90,71,57,68,88,54,18,67,32,64.0
21426,Kevin Fabián Itabel,21,2016,Argentina,69,66,68,,67,66,83,71,57,68,80,65,15,66,29,52.0
21427,Cédric Hountondji,21,2016,France,69,54,43,,57,47,53,60,82,48,60,28,17,64,75,45.0
21428,Raffaele Di Gennaro,21,2016,Italy,69,25,18,,64,11,40,39,50,22,46,14,69,26,19,25.0
21429,Alexandre Miguel Barros Soares,24,2016,Portugal,69,73,72,,67,56,68,69,60,72,67,37,16,74,55,48.0
21430,Bruno Miguel Semedo Varela,20,2016,Portugal,69,22,19,,57,20,37,44,73,19,41,16,69,26,12,24.0
21431,Hamari Traoré,23,2016,Mali,69,68,69,,61,67,80,72,59,30,74,22,17,65,72,47.0
21432,Roger Beyker Martínez Tobinson,21,2016,Colombia,69,71,70,,68,53,75,66,82,71,77,68,19,63,21,67.0
21433,Felipe Nicolás Avenatti Dovillabichus,22,2016,Uruguay,69,71,61,,63,30,58,67,92,72,66,69,14,55,13,62.0
21434,Joel Julius Ilmari Pohjanpalo,20,2016,Finland,69,69,67,,69,54,76,59,67,71,74,72,17,60,21,59.0
21435,Dmytro Khomchenovskyy,25,2016,Ukraine,69,71,72,,69,73,74,69,68,70,73,54,21,71,32,59.0
21436,Jamal Bajandouh,22,2016,Saudi Arabia,69,69,62,,65,70,55,77,76,77,54,57,19,76,69,57.0
21437,Thalles Lima de Conceição Penha,20,2016,Brazil,69,70,72,,66,53,78,68,73,70,77,68,17,68,34,42.0
21438,Juan Manuel Falcón Jiménez,26,2016,Venezuela,69,64,63,,65,50,76,77,77,80,71,73,16,60,20,63.0
21439,Antonio-Mirko Čolak,21,2016,Germany,69,71,68,,67,43,65,55,76,67,68,72,16,56,31,66.0
21440,İshak Doğan,24,2016,Turkey,69,73,73,,66,71,68,71,76,77,69,43,18,67,70,43.0
21441,Alessandro Schöpf,21,2016,Austria,69,75,76,,70,67,82,74,49,68,68,62,17,69,29,64.0
21442,Nelino José Tapia Gil,24,2016,Colombia,69,65,64,,65,64,91,91,59,43,89,48,18,60,65,33.0
21443,Michael David Barrios Puerta,24,2016,Colombia,69,70,73,,63,58,93,84,34,68,92,64,16,61,17,53.0
21444,Uroš Đurđević,21,2016,Serbia,69,66,69,,65,33,71,50,75,79,73,68,16,62,19,65.0
21445,Jhony Moisés Cano Barrios,25,2016,Colombia,69,71,70,,69,50,82,73,73,69,82,68,17,67,23,75.0
21446,Harry Shipp,23,2016,United States,69,66,74,,62,70,86,71,49,70,65,63,19,69,37,63.0
21447,Raúl Michel Melo da Silva,25,2016,Brazil,69,58,44,,53,56,54,60,71,65,49,41,15,65,69,51.0
21448,Yago Felipe da Costa Rocha,20,2016,Brazil,69,69,73,,53,49,77,63,54,49,78,61,17,74,42,57.0
21449,이재성 李在成,22,2016,Korea Republic,69,67,70,,75,61,68,80,65,59,68,65,16,76,45,38.0
21450,Godfred Donsah,19,2016,Ghana,69,76,72,,68,60,80,82,77,76,81,46,17,76,66,60.0
21451,Hélder Wander Sousa Azevedo Costa,21,2016,Portugal,69,74,76,,72,66,83,68,58,69,85,65,17,53,27,48.0
21452,Gonzalo Orlando Díaz Nachar,25,2016,Argentina,69,70,76,,63,71,83,55,50,68,81,54,16,65,40,64.0
21453,Valentin Lavigne,21,2016,France,69,74,73,,56,64,80,52,63,72,75,73,17,70,31,66.0
21454,Marion Silva Fernandes,23,2016,Brazil,69,67,74,,60,62,90,68,35,66,85,67,17,65,22,63.0
21455,Julian Weigl,19,2016,Germany,69,69,62,,72,54,73,73,59,53,71,47,17,75,66,50.0
21456,Adrián Andrés Cubas,19,2016,Argentina,69,69,67,,67,58,64,83,42,55,65,35,17,71,71,51.0
21457,Martin Ødegaard,16,2016,Norway,69,76,82,,52,52,79,43,39,38,67,55,16,71,31,59.0
21458,Marcos Guilherme de Almeida Santos Matos,19,2016,Brazil,69,73,75,,64,65,74,69,41,61,71,57,17,73,41,58.0
21459,Rubens Raimundo da Silva,25,2016,Brazil,69,74,76,,69,57,77,44,40,68,75,61,16,71,42,56.0
21460,Louis Nganioni,20,2016,France,69,72,69,,64,70,80,84,72,59,77,38,17,62,59,44.0
21461,Fernando Diego Pellegrino,29,2016,Argentina,69,25,15,,70,16,36,30,67,20,37,17,69,28,16,24.0
21462,Abdulaziz Demircan,24,2016,Turkey,69,18,13,,65,18,42,26,58,23,49,21,69,30,14,20.0
21463,Sezer Özmen,22,2016,Turkey,69,67,52,,61,49,67,81,71,56,76,25,17,65,67,46.0
21464,Enes Ünal,18,2016,Turkey,69,70,70,,66,56,79,61,70,70,77,71,18,64,33,68.0
21465,Gustavo Henrique Furtado Scarpa,21,2016,Brazil,69,70,72,,66,64,79,69,44,60,84,53,20,70,40,58.0
21466,Oğulcan Çağlayan,19,2016,Turkey,69,75,77,,68,60,80,62,52,67,79,60,16,69,24,62.0
21467,Filipe Joaquim Melo Silva,25,2016,Portugal,69,65,58,,68,62,62,77,82,58,64,33,17,68,69,49.0
21468,Rui Jorge Farto Correia,24,2016,Portugal,69,51,41,,69,32,58,63,74,45,65,28,18,51,72,44.0
21469,Sergio Ramón Rochet Álvarez,22,2016,Uruguay,69,24,19,,65,14,49,39,67,21,48,13,69,27,12,24.0
21470,Tom van Weert,25,2016,Netherlands,69,65,59,,68,39,68,66,65,66,65,72,18,61,21,69.0
21471,Sheraldo Becker,20,2016,Netherlands,69,67,73,,64,74,84,66,70,76,87,64,18,59,32,64.0
21472,Sergej Milinković-Savić,20,2016,Serbia,69,68,57,,63,36,63,78,84,68,61,37,16,69,70,38.0
21473,Julio César Chiarini,33,2016,Argentina,69,17,13,,73,15,45,31,57,18,49,18,69,30,11,22.0
21474,Andreas Bouchalakis,22,2016,Greece,69,71,61,,66,62,63,74,79,79,69,60,18,73,62,61.0
21475,Adam Marušić,22,2016,Montenegro,69,72,73,,64,65,74,75,74,71,82,65,15,64,42,58.0
21476,Luís Miguel Coimbra Aurélio,26,2016,Portugal,69,73,68,,69,67,73,84,63,76,66,62,18,72,57,53.0
21477,David Querol Blanco,26,2016,Spain,69,66,69,,72,69,80,84,63,67,83,59,18,67,59,67.0
21478,Mariano Omar Barbieri,24,2016,Argentina,69,70,71,,61,64,76,71,33,63,75,64,18,68,24,48.0
21479,Dabney dos Santos Souza,18,2016,Netherlands,69,74,76,,65,55,85,56,39,67,83,52,17,71,44,59.0
21480,Lewis Cook,18,2016,England,69,75,74,,67,54,77,76,65,57,73,50,18,71,66,45.0
21481,Marcos Javier Acuña,23,2016,Argentina,69,71,69,,69,68,82,86,61,70,79,53,19,68,47,43.0
21482,Hugo Alejandro Héctor Vilches Manuguian,23,2016,Chile,69,71,69,,70,25,68,71,72,70,69,72,19,51,16,58.0
21483,Yeimar Pastor Gómez Andrade,23,2016,Colombia,69,46,33,,72,31,48,62,92,45,49,27,19,49,70,38.0
21484,Rafael Garcia Tonioli Defendi,31,2016,Brazil,69,24,11,,61,15,41,27,74,13,41,10,69,32,18,14.0
21485,Stéphane Sparagna,20,2016,France,69,44,36,,59,33,64,63,79,49,68,23,15,55,77,42.0
21486,Sergiy Bolbat,22,2016,Ukraine,69,73,72,,52,61,81,41,42,64,79,55,17,72,28,58.0
21487,Jean-Luc Mamadou Diarra Dompé,19,2016,France,69,73,76,,57,67,85,64,54,67,81,60,15,66,39,57.0
21488,Borja Fernández Fernández,19,2016,Spain,69,67,49,,71,45,59,69,68,44,58,34,17,74,70,39.0
21489,Jorge Daniel Benítez Guillén,22,2016,Paraguay,69,63,70,,69,40,76,66,71,73,70,70,18,57,16,67.0
21490,Motaz Ali Hassan Hawsawi,23,2016,Saudi Arabia,69,54,46,,71,37,75,71,70,46,68,33,18,44,73,43.0
21491,Vincent Edouard André Koziello,19,2016,France,69,69,66,,55,76,70,68,34,59,65,55,16,80,59,60.0
21492,İrfan Can Kahveci,19,2016,Turkey,69,74,73,,58,64,76,68,67,69,75,67,18,71,28,54.0
21493,João Pedro Maturano dos Santos,18,2016,Brazil,69,67,69,,70,64,83,73,60,39,80,45,18,68,69,49.0
21494,Martín Nicolás Campaña Delgado,26,2016,Uruguay,69,24,18,,55,21,40,18,81,24,48,21,69,26,16,23.0
21495,Jean-Kévin Augustin,18,2016,France,69,72,73,,62,65,74,62,63,62,75,69,15,66,16,68.0
21496,Assane Demoya Gnoukouri,18,2016,Côte d'Ivoire,69,75,70,,64,62,66,69,57,63,67,47,15,74,70,51.0
21497,Menzi Alson Masuku,22,2016,South Africa,69,72,73,,67,62,76,65,38,60,73,65,15,71,33,50.0
21498,Emiliano Buendía,18,2016,Argentina,69,73,75,,63,64,68,44,36,48,62,60,15,73,35,61.0
21499,António Manuel Pereira Xavier,22,2016,Portugal,69,73,76,,56,65,81,60,63,69,83,65,17,67,31,63.0
21500,Omar Colley,22,2016,Gambia,69,54,39,,65,44,57,62,85,41,76,28,16,49,68,33.0
21501,Vincent Janssen,21,2016,Netherlands,69,71,63,,62,33,67,73,76,80,73,73,18,64,19,66.0
21502,Euciodálcio Gomes,19,2016,Portugal,69,72,76,,67,69,81,53,74,76,84,66,16,65,35,66.0
21503,Marko Poletanović,21,2016,Serbia,69,70,67,,66,52,52,68,65,73,54,59,19,72,63,55.0
21504,Frédéric Guilbert,20,2016,France,69,63,65,,65,68,65,67,71,63,68,39,17,67,75,44.0
21505,Francisco das Chagas Soares dos Santos,24,2016,Brazil,69,69,64,,67,39,73,67,75,66,72,76,14,61,17,68.0
21506,Josep Señé Escudero,23,2016,Spain,69,70,71,,67,57,65,49,56,48,63,58,19,75,52,61.0
21507,Antonio José Raíllo Arenas,23,2016,Spain,69,61,58,,62,29,59,67,68,54,66,25,19,67,67,43.0
21508,Cristian Edgardo Amado,30,2016,Argentina,69,66,69,,74,33,82,71,69,75,68,67,18,53,34,66.0
21509,Ifeanyi Victor Onyilov,24,2016,Nigeria,69,65,58,,71,57,76,73,90,68,86,65,16,65,35,57.0
21510,Tendai Ndoro,27,2016,Zimbabwe,69,65,71,,60,39,69,69,73,68,70,79,16,56,14,77.0
21511,João Miguel Ribeiro Vigário,19,2016,Portugal,69,74,75,,56,64,74,70,65,70,76,68,15,64,24,48.0
21512,Jonathan Oscar Benítez,23,2016,Argentina,69,70,73,,66,63,81,72,70,70,80,68,17,63,24,57.0
21513,Geferson Cerqueira Teles,21,2016,Brazil,69,68,69,,68,72,75,67,72,40,72,35,16,70,69,48.0
21514,Nikolaos Kaltsas,25,2016,Greece,69,69,70,,66,74,76,65,53,73,80,64,15,67,49,56.0
21515,João José Pereira da Costa,22,2016,Portugal,69,70,74,,65,63,91,75,29,71,85,59,14,60,29,72.0
21516,Roniel da Silva Costa,21,2016,Brazil,69,69,75,,66,53,86,53,60,77,91,66,17,58,26,70.0
21517,Saša Marković,24,2016,Serbia,69,72,64,,64,59,56,73,77,74,59,58,14,71,70,59.0
21518,Serges Flavier Mbilla Etame,26,2016,Cameroon,69,66,64,,63,58,78,64,73,75,75,70,16,56,21,65.0
21519,Milan Gajić,19,2016,Serbia,69,68,69,,67,73,64,62,66,60,69,61,14,69,74,47.0
21520,Mauricio Affonso Prieto,23,2016,Uruguay,69,67,68,,61,60,69,81,86,67,71,67,15,70,30,63.0
21521,Anderson José Lopes de Souza,21,2016,Brazil,69,67,70,,68,58,85,58,73,76,83,71,16,64,25,68.0
21522,Nikos Giannakopoulos,22,2016,Greece,69,24,19,,66,15,46,45,78,17,43,13,69,31,13,30.0
21523,Rajko Brežančić,25,2016,Serbia,69,62,66,,66,68,74,78,68,55,77,28,17,63,72,43.0
21524,Rijad Bajić,21,2016,Bosnia and Herzegovina,69,70,66,,71,63,56,72,78,65,52,75,17,62,17,72.0
21525,Gabriel Fernando de Jesus,18,2016,Brazil,69,73,77,,72,57,81,66,43,67,85,68,17,71,17,68.0
21526,Wanderson de Macedo Costa,23,2016,Brazil,69,71,71,,65,55,77,55,64,69,78,75,15,61,14,55.0
21527,Toni Gorupec,21,2016,Croatia,69,62,66,,58,68,86,90,58,63,88,35,16,57,70,44.0
21528,Christos Aravidis,28,2016,Greece,69,68,69,,65,55,77,69,58,72,75,72,16,62,13,77.0
21529,Michael Nicolás Santos Rosadilla,22,2016,Uruguay,69,71,72,,64,62,73,60,64,71,69,69,16,62,21,71.0
21530,David Vaughan,32,2016,Wales,68,73,69,,67,72,41,42,57,70,32,57,14,77,67,74.0
21531,Emile Heskey,37,2016,England,68,72,63,,62,55,42,33,90,77,45,63,19,69,44,66.0
21532,Gerardo Torrado Díez de Bonilla,36,2016,Mexico,68,60,52,,72,56,34,65,71,63,36,37,16+1,64,67,62.0
21533,Jean-Michel Lesage,38,2016,France,68,68,65,,71,75,53,61,71,73,61,64,20,67,34,68.0
21534,Roy Carroll,37,2016,Northern Ireland,68,20,14,,65,12,20,32,64,24,35,12,68,27,13,15.0
21535,Patrick Jan Mtiliga,34,2016,Denmark,68,65,63,,62,69,75,58,62,68,76,52,16,71,68,55.0
21536,Toifilou Maoulida,36,2016,France,68,71,68,,62,63,63,64,71,67,63,69,15,69,24,66.0
21537,Arkadiusz Głowacki,36,2016,Poland,68,63,61,,61,60,31,34,80,57,33,40,15,59,65,48.0
21538,Nilson António da Veiga de Barros,27,2016,Cape Verde Islands,68,65,64,,69,63,83,76,52,56,81,41,19,59,69,46.0
21539,Julián de Guzmán,34,2016,Canada,68,74,71,,73,54,71,66,58,74,75,46,18,69,65,64.0
21540,Johan Wiland,34,2016,Sweden,68,24,12,,69,17,34,30,60,15,38,11,68,28,8,15.0
21541,Gaël Danic,33,2016,France,68,71,69,,71,71,63,70,56,65,61,59,16,69,35,76.0
21542,Morten Gamst Pedersen,33,2016,Norway,68,69,64,,67,74,51,65,64,71,54,66,16,71,54,67.0
21543,Emanuele Berrettoni,34,2016,Italy,68,73,71,,70,67,75,53,59,68,72,58,16,62,25,61.0
21544,Øyvind Storflor,35,2016,Norway,68,68,66,,56,81,69,66,63,68,66,61,16,69,34,54.0
21545,Tommy Bechmann,33,2016,Denmark,68,66,64,,67,51,72,71,69,70,76,72,17,60,23,57.0
21546,Tim Wiese,33,2016,Germany,68,32,14,,73,13,20,20,87,29,20,12,68,37,16,31.0
21547,Daniel Sjölund,32,2016,Finland,68,67,62,,75,49,65,78,68,69,53,54,18,70,56,59.0
21548,Gary O'Neil,32,2016,England,68,71,68,,71,68,54,84,58,67,59,65,17,71,61,64.0
21549,Lloyd Doyley,32,2016,Jamaica,68,56,49,,66,56,69,74,75,49,68,22,16,52,72,43.0
21550,Sigamary Diarra,31,2016,Mali,68,67,65,,65,67,80,65,73,63,80,62,16,69,43,51.0
21551,Mark Hudson,33,2016,England,68,58,38,,62,27,33,70,74,59,41,31,15,58,72,37.0
21552,Stephen Warnock,33,2016,England,68,60,65,,71,68,63,76,71,65,53,56,20,64,74,63.0
21553,Dickson Paul Etuhu,33,2016,Nigeria,68,62,56,,71,45,51,75,92,64,69,45,16,67,67,35.0
21554,Karl Henry,32,2016,England,68,65,67,,69,62,53,76,82,70,54,53,19,75,76,45.0
21555,Stefanos Kotsolis,36,2016,Greece,68,33,17,,64,15,27,29,65,34,40,13,68,23,9,38.0
21556,Goran Šukalo,33,2016,Slovenia,68,62,59,,69,57,46,72,86,76,47,53,18,67,72,61.0
21557,Alessandro Frara,32,2016,Italy,68,68,64,,76,47,55,78,58,63,55,33,19,69,69,53.0
21558,Alan Dunne,32,2016,Republic of Ireland,68,55,59,,62,61,66,68,75,63,67,39,18,66,71,55.0
21559,Karel Geraerts,33,2016,Belgium,68,65,57,,70,64,47,80,75,72,55,65,19,68,67,65.0
21560,Grégory Pujol,35,2016,France,68,72,66,,66,66,52,58,60,73,49,68,18,75,31,71.0
21561,Clément Maury,29,2016,France,68,22,12,,55,13,38,20,50,24,34,12,68,19,10,16.0
21562,Veroljub Salatić,29,2016,Switzerland,68,66,58,,70,58,63,65,79,66,53,48,19,63,70,61.0
21563,Bram Castro,32,2016,Belgium,68,36,11,,67,13,37,29,63,35,34,11,68,27,11,16.0
21564,Cristian García Ramos,33,2016,Spain,68,67,62,,67,63,82,90,56,72,90,51,17,62,61,42.0
21565,Christian de Jesús Bermúdez Gutiérrez,28,2016,Mexico,68,77,77,,56,63,83,56,30,61,78,57,16,62,18,66.0
21566,David Edward Martin,29,2016,England,68,30,16,,66,18,42,38,71,23,36,15,68,33,12,15.0
21567,Olivier Sorin,34,2016,France,68,24,14,,60,17,32,44,62,18,57,13,68,17,14,13.0
21568,Dean Hammond,32,2016,England,68,69,62,,77,52,53,79,71,62,52,58,18,74,66,57.0
21569,Alexander Walke,32,2016,Germany,68,14,19,,74,13,38,38,63,27,33,10,68,18,13,31.0
21570,Mahir Sağlık,32,2016,Turkey,68,70,72,,67,50,55,49,67,73,54,73,19,57,20,65.0
21571,Orhan Şam,29,2016,Turkey,68,63,62,,67,61,65,74,72,49,74,34,17,63,74,35.0
21572,Ufuk Ceylan,29,2016,Turkey,68,23,13,,65,15,56,29,61,23,60,12,68,29,14,18.0
21573,Gabriel Sebastian Tamaș,31,2016,Romania,68,57,52,,70,51,38,65,75,87,44,51,15,56,73,58.0
21574,이종민 李钟民,31,2016,Korea Republic,68,64,63,,64,70,71,84,72,63,84,53,18,61,68,61.0
21575,Alessandro Budel,34,2016,Italy,68,69,60,,71,65,52,70,78,68,31,46,16,70,72,70.0
21576,Mike Magee,30,2016,United States,68,69,68,,67,67,70,60,63,71,66,66,19,67,37,69.0
21577,Adriano Russo,28,2016,Italy,68,48,27,,68,25,54,68,77,35,60,22,17,56,69,28.0
21578,Jürgen Gjasula,29,2016,Germany,68,75,70,,69,67,65,73,76,74,64,65,18,74,44,69.0
21579,Alexander Huber,30,2016,Germany,68,63,58,,66,67,76,73,60,50,69,22,15,64,73,45.0
21580,Dario Krešić,31,2016,Croatia,68,22,12,,71,14,38,36,77,24,43,14,68,23,12,12.0
21581,Gino Coutinho,32,2016,Suriname,68,33,11,,65,11,55,40,56,37,54,20,68,20,18,29.0
21582,Patrick McCarthy,32,2016,Republic of Ireland,68,62,29,,67,29,30,68,75,59,53,31,18,55,70,50.0
21583,Guirane N'Daw,31,2016,Senegal,68,67,57,,63,49,32,74,92,78,50,47,19,69,70,56.0
21584,곽희주 郭熙柱,33,2016,Korea Republic,68,62,57,,67,56,65,88,76,67,69,55,16,53,69,60.0
21585,Antony Roland Kay,32,2016,England,68,59,46,,59,34,67,68,80,61,64,51,15,66,66,54.0
21586,Frank Boeckx,28,2016,Belgium,68,34,15,,66,15,47,21,63,34,38,15,68,37,10,26.0
21587,Sean St. Ledger,30,2016,Republic of Ireland,68,62,52,,66,35,66,70,73,56,68,34,18,63,71,52.0
21588,Juan Pablo Rodríguez Guerrero,35,2016,Mexico,68,71,69,,69,68,54,65,66,74,48,51,18,72,65,84.0
21589,Waldo Alonso Ponce Carrizo,32,2016,Chile,68,50,44,,69,27,33,73,89,76,33,30,16,61,64,65.0
21590,Alexander Aaron John Baptiste,29,2016,England,68,57,55,,66,55,70,77,80,57,73,42,17,56,74,34.0
21591,Zlatko Dedič,30,2016,Slovenia,68,67,73,,67,59,81,74,67,72,78,66,20,63,32,70.0
21592,Johnny Juul Thomsen,33,2016,Denmark,68,67,54,,77,69,64,73,78,68,67,28,17,70,71,41.0
21593,Cristian Raúl Ledesma,36,2016,Argentina,68,69,62,,71,65,53,54,64,75,54,52,16,72,74,70.0
21594,Álvaro Antón Camarero,31,2016,Spain,68,70,69,,69,73,67,61,54,80,69,52,16,71,53,60.0
21595,Osmar Daniel Ferreyra,32,2016,Argentina,68,70,70,,67,62,73,67,66,75,74,56,16,69,36,67.0
21596,Maximiliano Nicolás Velázquez,34,2016,Argentina,68,69,67,,72,68,67,51,66,77,68,53,18,71,74,60.0
21597,Christian Gustavo Gómez,40,2016,Argentina,68,71,65,,69,61,51,32,59,71,64,64,16,68,29,73.0
21598,Iván Diego Moreno y Fabianesi,36,2016,Spain,68,73,70,,69,54,60,50,65,64,52,59,17,73,60,70.0
21599,Pablo Ariel Lugüercio,33,2016,Argentina,68,66,66,,71,62,90,67,62,69,87,61,17,64,36,67.0
21600,Furkan Özçal,24,2016,Turkey,68,69,68,,71,68,76,73,55,74,75,53,16,71,58,51.0
21601,Cem Can,34,2016,Turkey,68,66,62,,68,67,67,73,72,69,66,46,18,68,71,60.0
21602,Sedat Ağçay,33,2016,Turkey,68,63,64,,69,53,52,67,74,69,54,62,17,68,68,52.0
21603,Juan de Dios Prados López,28,2016,Spain,68,64,58,,61,46,68,79,73,49,65,32,17,69,68,48.0
21604,Sergio Mora Sánchez,35,2016,Spain,68,65,54,,64,67,54,63,71,74,51,56,17,78,57,71.0
21605,Fernando Seoane Antelo,32,2016,Spain,68,63,45,,65,53,57,75,74,59,63,29,17,67,73,53.0
21606,Raúl Miguel Cámara,31,2016,Spain,68,64,59,,70,58,83,86,62,64,83,45,19,57,64,49.0
21607,Iago Bouzón Amoedo,32,2016,Spain,68,42,40,,61,40,50,52,72,48,46,35,17,59,69,42.0
21608,José Juan Figueiras García,35,2016,Spain,68,13,17,,67,18,49,42,62,22,59,11,68,43,11,15.0
21609,Carlos González Peña,31,2016,Spain,68,64,61,,64,64,73,81,71,50,74,28,18,62,72,38.0
21610,Felipe Sanchón Huerta,33,2016,Spain,68,72,76,,75,61,86,62,34,67,76,70,19,58,18,60.0
21611,Evgeniy Shipitsin,30,2016,Russia,68,70,64,,68,55,67,70,60,63,64,50,17,72,65,37.0
21612,Pavel Pogrebnyak,31,2016,Russia,68,68,62,,56,58,47,72,82,79,48,73,18,60,38,75.0
21613,Aleksandr Sheshukov,32,2016,Russia,68,70,63,,61,65,67,64,70,49,67,50,12,72,68,71.0
21614,Łukasz Madej,33,2016,Poland,68,69,71,,65,63,75,76,58,65,81,60,16,64,33,62.0
21615,Gianluca Comotto,36,2016,Italy,68,60,48,,70,54,50,57,66,53,53,28,17,60,70,35.0
21616,Antonio Rosati,32,2016,Italy,68,21,11,,73,11,32,36,65,21,31,8,68,24,10,25.0
21617,Paolo Sammarco,32,2016,Italy,68,70,66,,71,60,71,78,68,68,68,45,16,69,66,60.0
21618,Kevin Doyle,31,2016,Republic of Ireland,68,68,65,,68,62,69,73,65,69,69,67,16,67,35,72.0
21619,Martin Vingaard Hansen,30,2016,Denmark,68,66,65,,76,73,74,76,73,75,71,65,16,69,52,47.0
21620,Wouter Biebauw,31,2016,Belgium,68,34,11,,67,13,31,28,76,12,32,12,68,12,13,13.0
21621,Daniel Fredheim Holm,29,2016,Norway,68,72,71,,58,64,74,69,70,68,71,63,16,65,51,73.0
21622,Robert Koren,34,2016,Slovenia,68,72,67,,67,72,66,51,63,69,62,64,16,73,55,76.0
21623,Mounir Hamoud,30,2016,Norway,68,61,62,,60,65,84,73,70,66,82,45,15,60,72,33.0
21624,Johnnie Jackson,32,2016,England,68,70,56,,63,74,55,78,66,75,50,61,16,68,65,73.0
21625,Grzegorz Wojtkowiak,31,2016,Poland,68,66,52,,63,48,66,72,69,42,70,35,16,63,73,50.0
21626,Jakub Wawrzyniak,31,2016,Poland,68,60,67,,61,67,65,84,84,58,68,31,16,61,68,44.0
21627,Ronald Raldes Balcázar,34,2016,Bolivia,68,57,41,,66,25,47,53,75,74,46,36,18,56,70,77.0
21628,Denis Tumasyan,30,2016,Russia,68,60,47,,56,47,58,64,70,54,54,51,13,61,72,60.0
21629,신화용 申和容,32,2016,Korea Republic,68,22,11,,62,11,54,18,60,23,42,12,68,24,12,13.0
21630,이호 李浩,30,2016,Korea Republic,68,68,61,,68,54,52,81,82,60,68,49,15,70,66,52.0
21631,Steven De Petter,29,2016,Belgium,68,64,47,,70,54,67,73,71,68,60,57,17,66,69,66.0
21632,Scott McDonald,31,2016,Australia,68,70,70,,71,60,70,74,71,68,73,66,15,67,49,73.0
21633,Luis Gabriel Rey Villamizar,35,2016,Colombia,68,69,66,,65,61,50,57,75,71,44,70,17,67,30,75.0
21634,Carlos Alberto Alves Garcia,32,2016,Portugal,68,68,71,,63,68,68,62,57,68,71,64,16,71,34,61.0
21635,Luis Carlos Eneas da Conceição Lima,28,2016,Brazil,68,67,69,,61,62,90,68,34,65,87,62,17,65,28,66.0
21636,Seyi Olajengbesi,34,2016,Nigeria,68,53,38,,64,25,63,55,90,61,74,13,17,54,73,25.0
21637,Thomas Gebauer,33,2016,Germany,68,23,13,,63,15,49,39,71,22,52,14,68,23,11,22.0
21638,Alfredo David Moreno Rojas,35,2016,Argentina,68,71,68,,66,51,47,30,72,71,67,73,18,57,29,80.0
21639,Darren Antony Pratley,30,2016,England,68,65,66,,72,65,65,91,75,73,75,66,19,66,66,61.0
21640,Joel Adrián Huiqui Andrade,32,2016,Mexico,68,57,55,,66,30,46,65,76,57,61,39,17,60,67,50.0
21641,Fausto Manuel Pinto Rosas,31,2016,Mexico,68,65,63,,65,64,70,82,53,65,66,39,18,64,70,59.0
21642,Christian de Jesús Valdéz Loaiza,31,2016,Mexico,68,68,67,,65,64,69,81,73,72,70,60,17,70,67,64.0
21643,Rasmus Lindgren,30,2016,Sweden,68,73,58,,71,65,50,73,71,83,35,53,17,74,73,68.0
21644,Joël André Sami,30,2016,Congo DR,68,56,43,,63,57,33,75,90,55,34,37,17,63,71,48.0
21645,Ezequiel Nicolás Miralles Sabugo,31,2016,Argentina,68,69,69,,64,64,76,77,64,73,67,71,16,68,30,71.0
21646,Enis Alushi,29,2016,Kosovo,68,72,71,,68,64,66,72,68,72,65,45,17,71,67,56.0
